Job_Title,Company,Location,No. of Openings,Job Level,Salary,Experience,Job URL,Job Description
Social Media Handler/ Content Creator,Public 4K TV,"Maharajgunj, Kathmandu, Nepal",2,Mid level,Negotiable,Less Than 1 year,https://www.vocalpanda.com/social-media-handler-content-creator-5619,"Manage and grow social media platforms (Facebook, Instagram, TikTok, LinkedIn, YouTube, etc.).
Create engaging content, including posts, graphics, videos, and stories.
Plan and schedule content using tools like Meta Business Suite, Hootsuite, or Buffer.
Monitor trends, hashtags, and viral content to boost engagement.
Respond to comments, messages, and community interactions in a timely manner.
Track and analyze social media performance using analytics tools.
Collaborate with the marketing team to align content with brand goals.
Stay updated on the latest social media trends, platform updates, and best practices.
Experience in social media management and content creation.
Proficiency in Canva, Photoshop, or other design tools.
Basic video editing skills (Premiere Pro, CapCut, or similar).
Strong writing skills for captions and engaging storytelling.
Understanding of social media algorithms, SEO, and hashtag strategy.
Creativity, adaptability, and the ability to work under deadlines."
Front Desk Officer,Public 4K TV,"Maharajgunj, Kathmandu, Nepal",Not Found,Not Found,Negotiable,Less Than Less than a year,https://www.vocalpanda.com/front-desk-officer-5620,"Greet and assist visitors, clients, and media personnel professionally.
Handle incoming calls, emails, and inquiries, directing them to the appropriate departments.
Maintain a well-organized reception area and manage appointments.
Assist in scheduling meetings, interviews, and events.
Keep records of guests, calls, and correspondence efficiently.
Coordinate with internal teams to ensure smooth office operations.
Provide basic administrative support, including document handling and data entry.
Uphold a positive company image and ensure excellent customer service.
Prior experience in front desk or customer service roles preferred.
Strong communication skills in English and local languages.
Proficiency in MS Office (Word, Excel, Outlook).
Friendly, presentable, and professional demeanor.
Ability to multitask and handle a fast-paced work environment.
Basic knowledge of media industry operations is a plus."
News reporter/ Presentor,Public 4K TV,"Maharajgunj, Kathmandu, Nepal",Not Found,Not Found,Negotiable,Less Than Less than a year,https://www.vocalpanda.com/news-reporter-presentor-5621,"Deliver news reports confidently and professionally on camera.
Ensure fluency, clarity, and accuracy in news scripts.
Cover live events and breaking news updates effectively.
Conduct in-depth research for investigative journalism.
Assist in editing and producing news content using video editing tools.
Capture visuals for news stories and features.
Develop news content tailored for digital platforms.
Bachelor’s degree in Journalism
Training in Radio & Television Presentation
Basic knowledge of video and photography
Strong interest in news editing and production"
Marketing Officer,Public 4K TV,"Maharajgunj, Kathmandu, Nepal",Not Found,Not Found,Negotiable,Less Than Less than a year,https://www.vocalpanda.com/marketing-officer-5624,"Develop and execute marketing and sales strategies to drive business growth.
Identify and pursue new sales opportunities, leads, and partnerships.
Manage social media, digital campaigns, and promotional activities.
Conduct market research to understand customer needs and trends.
Create marketing materials, brochures, and advertisements.
Maintain relationships with clients and follow up on inquiries.
Meet sales targets and track performance using CRM tools.
Bachelor’s degree in Marketing, Business, or a related field.
Experience in sales, marketing, or business development.
Strong communication, negotiation, and networking skills.
Knowledge of social media, Google Ads, and analytics tools.
Goal-oriented mindset with the ability to meet targets."
Sales & Marketing Officer,SKY BROADBAND,"Lagankhel, Lalitpur, Nepal",Not Found,Not Found,Negotiable,More Than or Equal To 2 years,https://www.vocalpanda.com/sales-marketing-officer-5626,"Develop and implement sales strategies to attract new customers.
Maintain relationships with existing clients and ensure customer satisfaction.
Achieve sales targets and expand the company's market presence.
Conduct market research and identify business opportunities.
Bachelor's degree in Business, Marketing, or a related field.
Proven experience in sales and marketing preferably in retail sales in an ISP sector.
Strong communication and negotiation skills.
Ability to work independently and in a team.
A result-driven approach with a focus on achieving targets."
Jr. Accountant,Spiritual Nepal,"Tarakeshwar, Nepal",1,Junior,NPR 18K - 20K,Less Than 1 year,https://www.vocalpanda.com/jr-accountant-5627,"Maintain daily financial transactions and records.
Prepare and process invoices, payments, and receipts.
Assist in bank reconciliations and ledger maintenance.
Support payroll processing and expense tracking.
Prepare and submit tax filings and compliance documents.
Assist in financial reporting and audits.
Maintain proper documentation and filing of financial records.
Coordinate with vendors, clients, and internal teams for accounting matters.
Bachelor's degree in Accounting, Finance, or a related field.
1+ years of experience in accounting or a related role.
Proficiency in accounting software (e.g., Tally, QuickBooks, SAP).
Strong knowledge of financial principles and tax regulations.
Attention to detail and problem-solving skills.
Good communication and teamwork abilities."
Customer & Support Representative,Scodus Innovations Pvt. Ltd.,"Dillibazar Height Marg, Kathmandu, Nepal",1,Mid level,NPR 13K - 18K,Less Than or Equal To 1 year,https://www.vocalpanda.com/customer-support-representative-5628,"We are looking for a fresher to join our team as a Software Installation & Technical Support Representative. The role involves installing software at client locations, providing technical support, and assisting customers with troubleshooting issues.
Software Installation & Support Specialist
Handles software setup at client sites, provides technical assistance, and resolves issues to ensure seamless functionality.
Responsibilities:
Install and configure software at client sites
Provide technical support via calls, messages, or on-site visits
Troubleshoot and resolve basic hardware and software issues
Train clients on software usage
Maintain installation and support records
Qualifications:
Freshers or candidates with up to 1 year of experience can apply
Basic knowledge of software installation and troubleshooting
Strong communication and problem-solving skills
Must own a 2-wheeler (Better)
Valid driver’s license (compulsory)
Willingness to travel to client locations
Salary: 13K-18K  (Fresher/Intern)
Perks: Breakfast & Lunch from Office.
Timings: 10-5. 6 Days a week but there is flexibility.

Note: Only male candidates are preferred."
Customer Service Representative (CSR),Dhuni Software,"Thapathali, Kathmandu, Nepal",1,Mid level,Negotiable,2 years,https://www.vocalpanda.com/customer-service-representative-csr-5629,"Handle incoming customer inquiries via phone, email, or chat.
Provide accurate and timely information to customers about our products/services.
Conduct research to identify potential customers and new markets.
Build and maintain relationships with clients to ensure repeat business.
Develop and execute sales strategies to achieve or exceed sales targets.
Prepare and deliver persuasive sales presentations and proposals to clients.
Resolve customer complaints in a timely and professional manner.
Escalate complex issues to the appropriate department or supervisor.
Collaborate with other teams, such as sales and marketing, to improve customer satisfaction.
Create engaging video content for TikTok, Instagram, and other social media platforms.
Develop creative video concepts aligned with brand objectives.
Plan, film, and edit high-quality videos.
Must have a minimum of 2+ years of experience in Customer service or a related role.
Bachelor's degree in business administration, marketing, or a related field.
Proven track record of achieving sales targets.
Excellent communication skills, both verbal and written.
Strong problem-solving skills and the ability to work independently.
Proficient in Microsoft Office and CRM software.
Ability to work in a fast-paced environment and handle multiple tasks simultaneously.
Positive attitude and a strong customer service orientation."
Social Media Content Creator,Dhuni Software,"Kathmandu, Nepal",1,Mid level,Negotiable,Less Than or Equal To 1 year,https://www.vocalpanda.com/social-media-content-creator-5630,"Plan, execute, and implement engaging educational video content tailored to diverse social media platforms, including Reels, TikTok, and YouTube Shorts, while ensuring alignment with the brand voice and audience preferences. 
Write engaging scripts incorporating storytelling and voiceovers to make the content engaging and impactful. 
Collaborate with the design and marketing teams to produce visually appealing content, including infographics and videos to maximize viewer engagement and reflect brand values,
Stay updated on trends and best practices in social media and content marketing, implementing innovative ideas to enhance our content strategy.
Ensure all educational content adheres to brand guidelines for consistency and quality across platforms, maintaining a professional and cohesive brand presence.
1-2 years of experience in content writing and content creation (including video, graphics, and multimedia).  
Excellent written and verbal communication skills. 
Familiarity with social media platforms (Instagram, TikTok, Facebook) and their respective content formats. 
Creative thinker with a passion for storytelling and an eye for detail. 
Strong organizational skills and attention to detail. 
Ability to work both independently and collaboratively in a team. 
Strong copywriting skills"
Sr. Account Officer,Dugar Group,"Naxal, Kathmandu, Nepal",1,Mid level,Negotiable,Less Than or Equal To 4 years,https://www.vocalpanda.com/sr-account-officer-5631,"Ensures accurate financial records by recording, verifying, and organizing transactions.
Prepares and records financial details like assets, liabilities, income, and expenses.
Keeps financial accounts accurate by checking, posting, and fixing any mistakes.
Maintains the general ledger, prepares trial balances, and reconciles accounts.
Summarizes financial status by preparing reports like balance sheets and profit & loss statements.
Supports external audits by organizing financial records and providing required details.
Ensures legal compliance to avoid financial risks.
Secures financial data by backing up records.
Maintains confidentiality of financial information.
Trains and supervises subordinate staffs.
Maintain accurate financial records.
Ensure compliance with tax law, audits and regulatory requirements.
Master degree in accounts or finance major or a related field.
3-5 years of experience in accounting preferably in pharmaceutical.
Expertise in accounting software.
Strong knowledge of taxation, financial reporting and audit procedure.
Excellent leadership and problem solving skills."
Jr. Account Officer,Dugar Group,"Naxal, Kathmandu, Nepal",Not Found,Not Found,Negotiable,Less Than or Equal To 2 years,https://www.vocalpanda.com/jr-account-officer-5632,"Assists senior accountants with all financial operations.
Compiles weekly and monthly financial statements and reports.
Prepares and analyzes balance sheets.
Makes journal entries
Handles the month-end and year-end closing process
Manages accounts payable and receivables
Uses popular financial software
Collaborates with other members of the finance team
Follows all company policies and procedures
Adheres to finance laws and regulations.
Bachelor’s degree in accounts and finance major or related field
1-2 years’ experience in accounting preferably in the pharmaceutical sector
Proficiency in accounting software.
Strong analytical and problem solving skills."
Sales/ Marketing Officer,Dugar Group,"Naxal, Kathmandu, Nepal",1,Mid level,Negotiable,Less Than or Equal To 3 years,https://www.vocalpanda.com/sales-marketing-officer-5633,"1. Sells pharmaceutical products and helps customers with their needs.
2. Manages existing customer accounts, takes orders, and finds new customers.
3. Plans daily sales visits to current and potential clients.
4. Adjusts sales presentations based on the type of customer or business.
5. Focuses sales efforts on high-potential customers and dealers.
6. Uses virtual sales channels like social media, webinars, and online presentations.
7. Submits customer orders based on product price lists and information.
8. Keeps management updated with daily, weekly, and monthly sales reports.
9. Tracks competitors’ prices, products, and sales strategies.
10. Suggests product or service improvements based on market feedback.
11. Resolves customer complaints by investigating issues and finding solutions.
12. Stays updated on industry trends.
13. Maintains records of sales and customer interactions.
Requirements:
1. Bachelors or Master’s degree in Marketing, Pharmacy or related field.
2. Minimum 2-3 years of experience in pharmaceutical sales and marketing.
3. Strong communication and negotiation skills.
4. Ability to travel frequently within the assigned territory.
5. Self-motivated and target oriented."
Daily Sales Representative,Manaram Group,"Chandol, Kathmandu, Nepal",1,Junior,Negotiable,More Than or Equal To 1 year,https://www.vocalpanda.com/daily-sales-representative-5634,"Develop sales plans and action plans, and new business leads. 
Achieve sales revenue numbers, budget and profit goals. 
Call prospective customers, provide knowledge about our product, and guide them through the purchase process. 
Assist in managing monthly/quarterly/annual sales budgets and objectives. 
Maintain accurate record of all sales, scheduled customer appointments, and customer complaints. 
Assist team with promotional ideas to increase business within the region. 
Oversee the activities and performance of the sales team.
Make a market research on cost-benefit analyses for prospective and existing customers to determine the most suitable purchase options. 
Analyze competitors’ products to determine product features, benefits, shortfalls, and market success. 
Make a review of current market trends and competitor offerings and be able to prepare and present accurate and detailed sales reports.
Maintain strong communication between sales executives and internal and external stakeholders. 
Collaborate with the Marketing department to develop various promotional activities, enhance the company’s presence, and generate leads. 
Collaborate with managers in preparing budgets and monitoring expenses. 
Other tasks assigned by the line manager.
Bachelor’s Degree in Sales, Marketing, Business Administration or related field is preferred. (running will also be considered)
Excellent interpersonal communication skills, both verbal and written. 
Sales-driven, results-driven, and target-driven attitude. 
Excellent negotiation and consultative sales skills. 
Excellent organizational and multitasking skills. 
Demonstrates the ability to forge and maintain relationships. 
Sound knowledge of sales strategies and industry regulations. 
Two-Wheeler with valid driving license."
FRONT DESK OFFICER,SHREEYAM EDUCATIONAL SERVICES S.E.S-2008,"Putalisadak, Kathmandu, Nepal",Not Found,Not Found,Negotiable,More Than 1 year,https://www.vocalpanda.com/front-desk-officer-5635,"Front Desk Officer is responsible for guiding students in choosing academic programs, career paths, and university admissions while also managing front desk operations. They assist with application processes, scholarships, and career counseling while handling inquiries, scheduling appointments, and maintaining records. The role involves providing information to students and parents, coordinating with institutions, conducting workshops, and ensuring a welcoming and organized reception area. Additionally, they offer basic administrative support, address student concerns, and maintain confidentiality while delivering excellent customer service.
Front Desk Officer guides students in making informed academic and career decisions. They provide support in course selection, university admissions, scholarships, and personal development, ensuring students achieve their educational and professional goals.
Key Responsibilities:
Student Counseling:
Advise students on career paths, academic programs, and admission processes.
Help students choose the right courses based on their skills, interests, and goals.
Admission & Application Assistance:
Guide students through university applications, scholarships, and entrance exams.
Assist with resume writing, personal statements, and interview preparation.
Career Guidance & Assessments:
Conduct aptitude tests and personality assessments to identify strengths and career options.
Provide insights into industry trends and job market opportunities.
Parental & Stakeholder Communication:
Communicate with parents about students’ progress and career prospects.
Collaborate with teachers, universities, and training institutes for student development programs.
Workshops & Seminars:
Organize career fairs, university meetups, and counseling sessions.
Conduct group sessions on time management, study skills, and career planning.
Keeping Up-to-Date with Education Trends:
Stay informed about new courses, scholarships, and educational policies.
Maintain relationships with educational institutions and industry professionals.
Student Mental Well-being Support:
Provide basic emotional support and refer students to psychologists if needed.
Address academic stress, peer pressure, and personal challenges.
Required Skills & Qualifications:
Education: Bachelor’s
Experience: one year in academic counseling, career guidance, or student support.
Skills:
Strong communication and interpersonal skills.
Active listening and empathy.
Problem-solving and decision-making ability.
Knowledge of education systems, universities, and career options.
High technical skills for research and documentation."
Female Receptionist,Cosmic Media Pvt. Ltd.,"New Baneshwor, Kathmandu, Nepal",2,Junior,NPR 10K - 15K,Less than a year,https://www.vocalpanda.com/female-receptionist-5643,"Answer and direct incoming calls promptly and professionally.
Make frequent outgoing calls to clients, customers, and vendors for follow-ups, inquiries, and confirmations.
Greet and assist visitors in a friendly and professional manner.
Maintain accurate call logs and update records as needed.
Schedule and manage appointments, meetings, and follow-ups.
Provide basic information about the company, products, or services over the phone.
Handle customer queries, complaints, or requests efficiently and escalate them when necessary.
Excellent verbal communication skills.
Strong interpersonal skills and the ability to maintain professionalism on calls.
Ability to multitask, stay organized, and work under minimal supervision.
A pleasant and confident phone manner."
Counselor,Nona Getaways,"Gyaneshwor Marg, Kathmandu, Nepal",1,Mid level,NPR 25K - 35K,2 years,https://www.vocalpanda.com/counselor-5644,"Counsel students on study options, admission processes, and visa requirements for Australia, Canada, and Europe.
Assist students in selecting suitable universities, colleges, and courses based on their academic background and career goals.
Guide students through application procedures, including document preparation, SOP writing, and financial documentation.
Stay updated with the latest immigration policies, visa rules, and admission requirements.
Coordinate with university representatives and embassies for application tracking and updates.
Maintain accurate records of student interactions, applications, and visa success rates.
Proven experience in student visa counseling for Australia, Canada, and Europe.
Strong knowledge of visa requirements, admission criteria, and education systems of these countries.
Excellent communication, interpersonal, and persuasion skills.
Ability to work independently and manage multiple student applications.
Fluency in English languages is a plus."
Accountant,Nona Getaways,"Gyaneshwor Marg, Kathmandu, Nepal",Not Found,Not Found,NPR 25K - 35K,2 years,https://www.vocalpanda.com/accountant-5646,"Maintain accurate financial records, including ledgers, invoices, and receipts.
Prepare and analyze financial statements, reports, and budgets.
Handle accounts payable and receivable, ensuring timely payments and collections.
Process payroll, tax calculations, and statutory compliance.
Reconcile bank statements and financial discrepancies.
Assist in preparing financial forecasts and cost analysis.
Bachelor's degree in Accounting, Finance, or a related field.
Proven experience as an Accountant or in a similar role.
Strong knowledge of accounting principles, tax regulations, and financial reporting.
Attention to detail and strong organizational skills.
Ability to work independently and meet deadlines."
Digital Marketing Specialist with Social Media Marketing Experience,Dhuni Software,"Thapathali, Kathmandu, Nepal",2,Mid level,Negotiable,2 years,https://www.vocalpanda.com/digital-marketing-specialist-with-social-media-marketing-experience-5648,"Develop and implement digital marketing campaigns across various channels (e.g., email, social media, search engines, content marketing).
Manage and grow our social media presence on platforms such as Facebook, Twitter, Instagram, LinkedIn, and others.
Analyze and report on the performance of digital marketing campaigns using tools like Google Analytics, social media analytics, etc.
Measure and report performance of all digital marketing campaigns, and assess against goals (ROI and KPIs).
Plan and execute all web, SEO/SEM, database marketing, email, social media, and display advertising campaigns.
Develop, implement, and manage our social media strategy to align with business goals.
Create and curate engaging content for social media platforms (Facebook, Instagram, LinkedIn, etc.).
Monitor social media channels for trends, opportunities, and customer engagement.
Manage social media campaigns and track their success using analytics tools.
Stay up-to-date with current technologies and trends in social media, design tools, and applications.
Collaborate with other teams, like marketing, sales, and customer service, to ensure brand consistency.
Oversee social media accounts' design (e.g., Facebook timeline cover, profile pictures, ads).
Identify and engage with influencers and industry partners to expand our reach.
Optimize campaigns for maximum ROI, including A/B testing, keyword research, and audience targeting.
Collaborate with internal teams (e.g., designer, sales) to create cohesive marketing materials and strategies.
Stay up-to-date with the latest digital marketing trends and best practices.
Bachelor’s degree in Marketing, Communications, or a related field.
2 years of proven experience as a Digital Marketing Specialist, Social Media Manager, or similar role.
Demonstrable experience in managing SEO/SEM, marketing database, email, social media, and/or display advertising campaigns.
Strong understanding of digital marketing concepts, including SEO, SEM, PPC, email marketing, and social media marketing.
Proficiency with digital marketing tools and platforms (e.g., Google Analytics, Facebook Ads Manager, Hootsuite, MailChimp).
Experience in setting up and optimizing Google AdWords campaigns.
Excellent written and verbal communication skills.
Creative thinking and problem-solving skills.
Ability to work independently and as part of a team.
Strong organizational skills and attention to detail."
Sales Executive,Dhuni Software,"Thapathali, Kathmandu, Nepal",Not Found,Not Found,Negotiable,More Than or Equal To 2 years,https://www.vocalpanda.com/sales-executive-5649,"Reach out to potential clients through calls, emails, and social media to generate leads and build a pipeline of new business opportunities. 
Develop and maintain relationships with new and existing clients, understanding their needs, and offering tailored solutions to meet those needs. 
Prepare proposals, handle client objections, negotiate terms, and close deals to meet or exceed set sales targets. 
Develop and execute sales strategies to increase revenue and market share. 
Identify new business opportunities and partnerships to expand the job portal's reach. 
Conduct market research to analyze trends and identify potential growth areas. 
Plan and implement effective brand promotion strategies to enhance visibility. 
Manage and oversee the entire sales, marketing, and business development process. 
Conduct presentations and product demos to educate potential clients on our software solutions and demonstrate their value. 
Regularly report on sales activities, client feedback, and pipeline status to management to track progress toward targets. 
Work closely with the marketing and product teams to align sales strategies, product offerings, and promotional materials.
Bachelor's degree in business, Marketing, or related field. 
Minimum of 2-3 years of proven success in a sales role. 
Strong communication and negotiation skills. 
Ability to present products and services effectively. 
Ability to generate leads, cold call, and close sales deals. 
Good understanding of CRM systems and sales pipeline management."
Front Desk Cum Admin Executive,Dugar Group,"Naxal, Kathmandu, Nepal",Not Found,Not Found,Negotiable,Less Than or Equal To 1 year,https://www.vocalpanda.com/front-desk-cum-admin-executive-5655,"Greet visitors, clients, and staff in a professional and friendly manner,
Answer and direct phone calls, emails, and other communications,
Manage scheduling, appointments, and meeting room bookings,
Maintain office supplies inventory and order as necessary,
Perform basic administrative tasks such as data entry, filing, and documentation,
Assist in managing office cleanliness and organizing office events,
Coordinate with various departments to ensure smooth operations,
Handle office correspondence and ensure timely follow-ups.
Bachelor's degree in any faculty
Proven experience in a front desk or administrative role
Strong communication and interpersonal skills
Proficient in MS Office Suite (Word, Excel, PowerPoint),
Excellent organizational skills and attention to detail
Ability to work independently and as part of a team
A positive attitude and ability to manage multiple tasks effectively."
Academic Staff,Sparkle Kids Academy,"Manbhawan, Lalitpur, Nepal",1,Mid level,Negotiable,Less Than or Equal To 1 year,https://www.vocalpanda.com/academic-staff-5657,"Plan and conduct engaging learning activities for young children.
Create a nurturing and supportive classroom environment.
Develop lesson plans and teaching materials as per the curriculum.
Assess students' progress and provide constructive feedback.
Maintain discipline and ensure a safe learning space.
Communicate effectively with parents and guardians regarding student development.
Adapt teaching methods to meet individual student needs.
Work collaboratively with other staff and follow school policies.
Female candidate, age below 30 years.
Bachelor’s or Master’s degree (Education-related field preferred).
At least 1 year of experience in any school.
Montessori training is highly preferred.
Strong English proficiency with excellent communication skills.
Ability to work well with children and understand their needs.
Versatile, smart, and positive personality.
Unmarried status preferred."
Content Creator,Scodus Innovations Pvt. Ltd.,"Dilli Bazaar, Kathmandu, Nepal",Not Found,Not Found,NPR 20K,Less Than Less than a year,https://www.vocalpanda.com/content-creator-5659,"Plan & create fun, educational video content 
Write engaging scripts & voiceovers 
Handle social media & stay on top of trends 
Work with the design & marketing team to craft eye-catching visuals 🎨
Ensure content aligns with brand voice & audience preferences
Passion for storytelling & social media
Basic content creation & copywriting skills
Familiarity with Instagram, TikTok, and Facebook
Strong creativity & attention to detail"
