Job Title,Company,Location,No. of Openings,Job Level,Salary,Experience,Job URL,Job Description
Python Developer (Full Stack),Aayulogic,"Chakupat, Patan",[ 1 ],Entry Level,Not Disclosed,More than or equal to 1 year,https://merojob.com/python-developer-full-stack/,"Develop and maintain server-side applications using Python and frameworks like DjangoProven competency building user interfaces using Vue.js or any other JavaScript librariesExperience on RDBMS such as PostgreSQL or similar.Query optimization, database normalization and design skills.Good understanding on building developer-friendly APIs that can be consumed by multiple clients.Brainstorm new features and shape the requirements together with the product owner and stakeholders.Create end-to-end solutions by connecting front-end and back-end components."
Data Analytics Engineer,Aligned Community Care,"On-site, Dhapasi Heights, Kathmandu",Not found,Not found,Not found,Not found,https://merojob.com/data-analytics-engineer/,Not found
Graphic Designer / Video Editor,RV Group,"RV GROUP, Bhagwati Bahal, Naxal",[ 1 ],Mid Level,"NRs. 35,000 - 40,000 Monthly",More than 3 years,https://merojob.com/graphic-designer-cum-video-editor-2/,"Conceptualization and Creation: Develop
and execute creative concepts for motion graphics and video projects,
translating ideas into compelling visuals. Animation and Motion Graphics: Create
animated graphics, including kinetic typography, infographics, and other visual
elements to enhance video content. Video Editing: Edit
raw footage, adding motion graphics, titles, transitions, and other elements to
create a cohesive and impactful narrative. Collaboration: Work
closely with creative teams, clients, and other stakeholders to ensure projects
meet their needs and expectations. Software Proficiency: Utilize
industry-standard software for motion graphics (e.g., Adobe After Effects) and
video editing (e.g., Adobe Premiere Pro, Final Cut Pro). Technical Skills: Possess
skills in areas like rotoscoping, motion/camera tracking, keying, and managing
post-production edits. Audio and Visual Integration: Ensure
that audio elements (music, sound effects, dialogue) are seamlessly integrated
into the video, enhancing the overall experience. Project Management: Manage
multiple projects simultaneously, meeting deadlines and staying
organized. Adaptability: Be
able to adapt to different projects and styles, and to make changes and edits
as needed."
Science Teacher,Ace Higher Secondary School,Kathmandu,[ 1 ],Mid Level,Not Disclosed,Equal to 1 year,https://merojob.com/science-teacher-124/,"Develop and implement technology-enhanced learning methods and resources in the classroom Create a positive and inclusive learning environment for students Use various assessment methods to evaluate students' understanding and progress Communicate with parents and guardians regarding students' academic progress and behavior Attend and participate in school meetings, workshops, and training sessions Keep up-to-date with advancements in Science education, teaching techniques, and technology Establish and maintain classroom rules and expectations Create and maintain a safe and organized classroom environment Mentor and support students in their overall growth and developmentActively participate in and promote the school's individual-centered learning approach Thinking-based learning must be mandatory, and flipped classroom teaching must be used."
Repair Technician,WorldLink Communications,"Lalitpur

                                    ,
                                
                                    Kusunti",[ 2 ],Mid Level,Not Disclosed,More than 3 years,https://merojob.com/repair-technician-2/,"Identify & Troubleshoot issues of Network switches, ONU, STB, remotes, adaptors, wireless devices, Access point, etc.. including its hardware, software, and connectivity problems.Perform component-level repairs on ONU & STB, Network switches, remotes, adaptors,  circuit boards.Replace faulty capacitors, resistors, ICs, transistors, power supply units, LAN ports, and fiber connectors Perform repair, maintenance, and replacement of faulty parts to restore functionality.Configure devices and test them for proper operation, ensuring they meet performance standards. Use diagnostic tools (multimeter, oscilloscope, logic analyzer, etc.) to pinpoint defective components.Maintain accurate records of all repairs, replacements, and configurations performed, including the causes of failure and solutions applied.Work closely with other technical teams and departments to resolve devices issues and ensure customer satisfaction.Conduct regular inspections of repaired mention devices to ensure they meet quality standards before they are returned to  branches/ warehouse or put into service.Monitor and manage parts inventory, ensuring that necessary components are available for repairs.Keep up to date with the latest technologies and trends in mention devices, including firmware updates and software patches."
Principal,Nepal Police Welfare Fund,"Shantipur, Chitwan",Not found,Not found,Not found,Not found,https://merojob.com/principal-143/,Not found
Senior Accountant,Pashupati Kattha Mills,"Dhobighat-3, Ringroad, Lalitpur",[ 1 ],Senior Level,"NRs. 800,000 - 1,000,000 Yearly",More than or equal to 5 years,https://merojob.com/senior-accountant-508/,"Oversee and manage the daily operations of the accounting department including sales and purchase entry, making cash receipt and payment vouchers along with other relevant entries.Vat entry (Maskewari) every month at IRD website. Should be able to prepare statements and documents required for filing VAT Refund.Job related to issuance and collection of Letter of credit, bank guarantee by coordination with the bank.Manage the purchase order, payment to the parties and follow-up on the orders.Coordinate with the national and international parties for procurement of various goods. Machinery items, spare parts and following up with them.Prepare salary sheets and other payment instructions on a daily and monthly basis.Prepare and analyze financial statements, ensuring accuracy and compliance with accounting standardsMonitor and review the company's financial performance and provide insights and recommendations to managementManage the month-end and year-end closing processes, including reconciliations and journal entriesEnsure timely and accurate completion of all tax filings and compliance requirementsCollaborate with other departments to provide financial information and analysis for decision-makingStay updated with changes in accounting regulations and implement necessary changes to ensure complianceParticipate in special projects and initiatives as assigned by management."
HR Adminitrative Assistant,WorldLink Communications,"Bouddha

                                    ,
                                
                                    Satungal",[ 2 ],Entry Level,Not Disclosed,Less than 1 year,https://merojob.com/hr-adminitrative-assistant/,"Responding to internal and external HR related inquiries or requests and provide assistanceRedirecting HR related calls or distribute correspondence to the appropriate person of the teamMaintaining records of personnel-related data in both paper and the database and ensure all employment requirements are metMaintain records of personnel-related data (payroll, personal information, leaves, turnover rates etc.) in both paper and the database and ensure all employment requirements are met.Liaise with other departments or functions (payroll, benefits etc.)Support the recruitment/hiring process by sourcing candidates, performing back ground checks, assisting in shortlisting, issuing employment contracts etc.Assist supervisors in performance management proceduresSchedule meetings, interviews, HR events etc. and maintain the team’s agendaCoordinate training sessions and seminarsPerform orientations, on-boarding and update records with new hiresProduce and submit reports on general HR activityAssist in ad-hoc HR projects, like collection of employee feedbackSupport other functions as assigned."
Sales & Marketing Executive,Executive Search- Merojob,"Sanepa, Lalitpur",[ 1 ],Entry Level,"NRs. 35,000 - 40,000 Monthly",More than or equal to 3 years,https://merojob.com/sales-marketing-executive-184/,"Assist in the development and implementation of sales and marketing strategies to achieve revenue targets.Conduct market research to identify trends, customer needs, and competitor activities.Collaborate with the Sales & Marketing Manager to create engaging marketing materials, including brochures, social media content, and promotional emails.Maintain and update the resort's website and social media profiles to ensure accurate and up-to-date information.Support the organization and execution of promotional events, trade shows, and other marketing activities.Cultivate and maintain positive relationships with clients, travel agencies, and event planners.Respond to inquiries from prospective clients and provide information on resort offerings.Assist in analyzing sales and marketing data to evaluate campaign effectiveness and identify areas for improvement."
Middle School Teacher,Elite Grand School,"Chuchhepati, Mahankal, KMC - 06, Kathmandu, Bagmati, Nepal",[ 12 ],Mid Level,"NRs. 35,000 - 50,000 Monthly",More than 3 years,https://merojob.com/middle-school-teachers-19/,"Plan and deliver interactive lessons as per the school curriculum.Create a stimulating classroom environment that encourages student engagement.Assess and evaluate students' progress through assignments, projects, and tests.Provide individual attention to students needing extra support.Foster creativity, critical thinking, and problem-solving skills in students.Maintain classroom discipline and ensure a safe learning environment.Coordinate with parents, school administration, and fellow teachers for student development.Participate in faculty meetings, workshops, and extracurricular activities."
Store Assistant,Apala Jewels,Baluwatar,[ 1 ],Mid Level,"NRs. 35,000 - 45,000 Monthly",More than 1 year,https://merojob.com/junior-store-assistant-3/,"Act as a secondary host, assisting customers when the primary host is engaged. Support the host with client visits, inquiries, and product presentations."
Junior Advisor,GIZ,Kathmandu,Not found,Not found,Not found,Not found,https://merojob.com/junior-advisor-3/,Not found
Trainee Assistant,Himalayan Everest Insurance,"Karnali Pradesh

                                    ,
                                
                                    Sudurpaschim Pradesh

                                    ,
                                
                                    Bagmati Pradesh

                                    ,
                                
                                    Gandaki Pradesh

                                    ,
                                
                                    Lumbini Pradesh

                                    ,
                                
                                    Madesh Pradesh

                                    ,
                                
                                    Koshi Pradesh",Not found,Not found,Not found,Not found,https://merojob.com/trainee-assistant-93/,Not found
Trainee- Admin & Volunteering 4…,Habitat for Humanity International Nepal,Biratnagar,Not found,Not found,Not found,Not found,https://merojob.com/trainee-admin-volunteering-4-development-v4d/,Not found
Virtual Assistant in Accounts/A…,QPS LTD,Online,Not found,Not found,Not found,Not found,https://merojob.com/virtual-assistant-in-accountsadmin/,Not found
Grade Teacher - English,Euro School Hattigauda,"Euroschool, Hattigauda",[ 1 ],Mid Level,Not Disclosed,More than or equal to 2 years,https://merojob.com/grade-teacher-english-6/,Designing and implementing lesson plans that align with the curriculum and educational standards.Creating a positive and interactive learning environment to foster students' growth and development.Assessing and tracking students' progress and providing constructive feedback.Collaborating with colleagues and parents to ensure a holistic learning experience.Participating in school activities and events.
Middle Level Science Teacher,Euro School Hattigauda,"Euroschool, Hattigauda",[ 1 ],Mid Level,Not Disclosed,More than or equal to 2 years,https://merojob.com/middle-level-science-teacher-2/,"Develop and deliver engaging and interactive science lessons for middle school students, fostering curiosity, critical thinking, and scientific inquiry.Implement the IB MYP Curriculum Frame Work, Science curriculum, ensuring alignment with international standards and best practices in science education.Utilize a variety of instructional strategies, resources, and technology to enhance student learning and facilitate hands-on laboratory experiments and investigations.Differentiate instruction to meet the diverse learning needs and interests of students, including English language learners and students with special needs.Assess student progress through formative and summative assessments, providing timely feedback to students and parents/guardians.Collaborate with colleagues to develop interdisciplinary units of study that integrate science with other subject areas, promoting connections and deeper understanding.Participate in professional development opportunities to stay updated on current trends and research in science education and pedagogy."
Fine Arts Teacher,Euro School Hattigauda,"Euroschool, Hattigauda",[ 1 ],Mid Level,Not Disclosed,More than 1 year,https://merojob.com/fine-arts-teacher/,"Develop and implement engaging Fine Arts curriculum in line with school standards and objectives.Provide instruction in various artistic techniques, including drawing, painting, sculpture, and mixed media.Foster a supportive and inclusive learning environment where students feel encouraged to explore their creativity.Assess student progress and provide constructive feedback to support their artistic development.Collaborate with colleagues to integrate Fine Arts education with other subject areas and school initiatives.Organize and oversee extracurricular activities, such as art clubs or exhibitions, to showcase students' work and talents."
Lower Secondary And Secondary N…,Euro School Hattigauda,"Euroschool, Hattigauda",[ 2 ],Mid Level,Not Disclosed,More than 2 years,https://merojob.com/lower-secondary-and-secondary-nepali-teacher-2/,"Develop and deliver engaging Nepali language lessons tailored to the needs of Lower Secondary and Secondary students.Foster a supportive and inclusive learning environment that promotes cultural appreciation and language proficiency.Incorporate Nepali language instruction into interdisciplinary units, particularly in subjects such as Math’s and  Science.Assess student progress using a variety of assessment tools and provide constructive feedback to support their language acquisition.Collaborate with colleagues to integrate Nepali language and culture across the curriculum.Participate in school events and activities that promote Nepali language and culture within the school community."
Music Teacher (Keyboard And Vio…,Euro School Hattigauda,"Euroschool, Hattigauda",[ 1 ],Mid Level,Not Disclosed,More than or equal to 2 years,https://merojob.com/music-teacher-keyboard-and-violin-and-theatre/,"Plan and deliver engaging co-curricular activities (CCA) in Music and Theatre for students in various grade levels.Develop and implement curriculum and lesson plans that align with the school's educational objectives and promote skill development, creativity, and self-expression.Provide instruction, guidance, and feedback to students to help them develop their talents and achieve their full potential in the respective disciplines.Organize and coordinate rehearsals, performances, showcases, and competitions to showcase students' achievements and foster a culture of excellence.Collaborate with colleagues and school leadership to integrate CCA initiatives into the overall educational program and support interdisciplinary learning opportunities.Maintain accurate records of student attendance, progress, and participation in CCA activities.Participate in professional development opportunities to enhance teaching skills and stay updated on best practices in arts education."
IELTS Instructor,AAEC Global,"Kathmandu, Nepal",[ 2 ],Mid Level,"NRs. 80,000 - 100,000 Monthly",More than 1 year,https://merojob.com/ielts-instructor-145/,"Conduct IELTS preparation classes for students aiming for high band scores.Develop structured lesson plans covering all four modules: Listening, Reading, Writing, and Speaking.Provide individualized feedback and assess student performance through practice tests.Explain IELTS exam structure, question types, and effective strategies for each section.Foster an engaging and supportive classroom environment.Use interactive teaching methods and digital tools to enhance student learning.Stay updated on IELTS format changes and best teaching practices."
Telecaller,AAEC Global,"Kathmandu, Nepal",[ 5 ],Mid Level,"NRs. 17,300 - 20,000 Monthly",More than 1 year,https://merojob.com/telecaller-14/,"Make outbound calls to customers for sales, follow-ups, or inquiries.Handle incoming calls and resolve customer queries in a professional manner.Provide accurate information about products and services.Maintain customer databases and records of calls made.Work towards daily/weekly call and sales targets (if applicable).Assist in customer feedback collection and ensure customer satisfaction.Coordinate with other departments for smooth communication and operations."
Personal Assistant,AAEC Global,"Kathmandu, Nepal",[ 1 ],Mid Level,"NRs. 25,000 - 35,000 Monthly",More than 1 year,https://merojob.com/personal-assistant-51/,"Manage daily schedules, meetings, and travel arrangements for executives.Handle confidential information with professionalism and discretion.Assist in drafting emails, reports, and presentations.Organize and maintain digital and paper filing systems.Coordinate with internal teams and external stakeholders.Perform general office administration tasks as required.Anticipate the needs of the executive and provide proactive support."
Deputy Head of Private Equity,A Capital Market Company,Kathmandu,[ 1 ],Senior Level,Not Disclosed,More than 10 years,https://merojob.com/deputy-head-of-private-equity/,"Lead successful fundraising initiatives within the fundraise period from eligible investors.Maintain consistent communication and coordination with stakeholders for capital calls and fundraising activities.Develop and implement investment policies and strategies aligned with the interests of unit holders.Ensure swift and accurate investment decision-making, including preparation and submission of reports and documentation to senior management and the investment committee.Present investment analyses to the investment committee and support executive negotiations on deal pricing.Finalize documentation prepared by the investment team, verifying the accuracy of valuations and financial models.Collaborate with external consultants for independent due diligence, ensuring outcomes serve the fund's best interests.Build and maintain a strong pipeline of potential deals."
Account Assistant,Sagarmatha Engineering College,"Sanepa, Lalitpur",[ 1 ],Mid Level,Not Disclosed,More than or equal to 1 year,https://merojob.com/account-assistant-340/,"Compile and analyze account related information to prepare monthly, quarterly and annual report/statement as per the college's requirement.Ensure and maintain accounting systems and records in compliance with accepted policies and be prepared for internal and external audit as and when required.Be updated and inform all concerned in the organization about the latest regulations and policies related to applicable Tax and VAT and maintain system accordingly.Coordinate with related government line agencies and regulatory bodies for the smooth operation of Account/Finance Department.Receive fee from students and maintain students' fee accounts and coordinate with parents/guardian of students to ensure timely collection of fee/due fee.Prepare and submit daily, weekly, monthly and yearly fee collection details/report with necessary feedback, suggestions and recommendations.Be responsible for obtaining employees' and organizations' tax clearance certificate as and when required.Work flexibly and efficiently, maintain the highest level of professionalism, be instrumental to promote and implement the policies of the College.Maintain a high level of confidentiality of information in your work at all times.Work pro-actively to forward the success and vision of the College.Attend meetings and maintain regular communication with the line manager by submitting regular report.In addition to the above duties, you are required to assist the administration in planning the academic and administrative developmental activities and implementation of the same effectively."
Professor / Asst. Professor / S…,Sagarmatha Engineering College,"Sanepa, Lalitpur",[ 5 ],Senior Level,Not Disclosed,More than or equal to 3 years,https://merojob.com/professor-lecturer/,"Produce schemes of work, lesson plans (Theory and Lab), assessment plans, learning materials and any other related activities that impact on the effectiveness of learning.Deliver lectures, tutorials and seminars; Conduct practical sessions.Set, mark and assess examinations and provide feedback to students.Identify resource requirements i.e. books, equipment, instruments, software, etc.Develop and apply innovative and appropriate teaching techniques and materials that create interest, understanding and enthusiasm amongst students.Ensure that students have an opportunity to give feedback on their learning experience.Prepare, submit and monitor student progress report (class test result, attendance, assignments etc.)Maintain and update subject/course progress report.Supervise student projects, field works/visits/trips and, where appropriate, arrange placements.Act as a responsible team member, and develop productive working relationships with other member of staff.Collaborate with colleagues to identify and respond to student's needs.Work flexibly and efficiently, maintain the highest professional standards and promote & implement the policies of the College.Maintain a high level of confidentiality of information in your work at all times.Work pro-actively to forward the success and vision of the College.Attend meetings and maintain regular communication with the academic chief by submitting regular report.In addition to the above duties, you are required to assist the administration in planning the academic and administrative developmental activities and implementation of the same effectively."
Technical Sales Officer,Tech World Distribution,"Pako Newroad, Kathmandu",[ 2 ],Mid Level,Not Disclosed,More than or equal to 2 years,https://merojob.com/sales-and-marketing-officer-307/,"Identify potential customers and generate sales for brands which includes Dahua Technology,Ezviz,Lexar and Netis.Increase Channel Sales Customer/Dealers Network.Identify sales leads and convert leads to sustainable sales.Contact customers, requiring effective written and verbal communication and the ability to build customer rapport while managing their expectations.Sales and profitability development for customers within the territory.Drive activities (e.g. marketing, promotion, claim handling, etc.) towards the customers.Initiate and improve customer relations via customer interaction, with special emphasis on customer visits to active and potential customers.Periodically visit dealers inside/outside valley."
IT Administrative Officer,"Lincoln University College (Lincoln Education, Nepal)","Samakhushi, Kathmandu",[ 4 ],Entry Level,Not Disclosed,Not Required,https://merojob.com/it-administrative-officer/,"Master of Computer Science, Master of Information Technology, Master of Information Management, or Master in a Computer-related fieldResult waiting can also apply."
Sales Manager (Mobile Phone),ZTE Nepal,"Jhamsikhel, Lalitpur",[ 1 ],Senior Level,Not Disclosed,More than 5 years,https://merojob.com/account-manager-sales-3/,"Target Decomposition: Responsible for the decomposition of Nepal sales target, communication, program development and follow-up and implementation to ensure that the target is reachedLocal Distributor Communication: Responsible for local distributor communication in NepalCustomer Management: planning and management of the dealer's inventory, to ensure a reasonable combination of cabinet and inventory turnover efficiency, customer relationship management and maintenance, access to market information and customer support, trust and continued adhesionPolicy Development: Develop monthly, quarterly and other product policies, insight into customer needs for policy negotiation, with the optimal input-output ratio to obtain sales thrust to reach a mutually beneficial win-win situationMarket order: Price control to ensure healthy competition and high customer satisfactionTeam Management: Responsible for the management of the sales team in Nepal, formulate and optimize the team assessment system"
Examination Head,Triyog High School,Kathmandu,[ 1 ],Mid Level,Not Disclosed,More than 2 years,https://merojob.com/examination-head-3/,"Plan, organize, and supervise all internal and external examinations.Ensure strict adherence to examination policies and procedures.Coordinate with academic departments to schedule and manage exams.Maintain accurate records of students’ assessments and results.Prepare question papers, invigilation schedules, and seating plans.Ensure timely evaluation and publication of results.Handle exam-related grievances and resolve issues effectively.Maintain the confidentiality and integrity of examination materials.Manage digital examination systems and student result databases."
Executive - QC R&D,Asian Paints (Nepal),Hetauda,[ 1 ],Entry Level,"NRs. 30,000 Monthly",More than or equal to 1 year,https://merojob.com/executive-qc-rd/,"Supervision & management of Lab operators, their duty shifts and smooth approval of the production batches under guidance of Assistant Manager that includes managing lab operators for Off-days (Saturday etc.) for overtime production on need basis.Quality inspection entry in SAP after batch approval. To test incoming RM/PM/FG samples and make SAP entries & report to Assistant Manager - QC, in case of deviations against standard parameters.To provide support on lab scale & bulk trial batches, HOTO etc. as per suggestion of reporting seniors & share reports.Suggesting for Improvements in processing as well as processing equipment’s with overall impact on quality of finished product.Provide support on understanding the resources (manpower, Space, equipment etc) needed for quality assurance & discuss with Assistant Manager – QC to bridge the gaps.To closely monitor and take appropriate actions for better process control over processing parameters.To ensure best level of QEHS & 5S in laboratory, ensuring proper maintenance of all lab instruments. To conduct & sustain 5S internal audit of the laboratory & share report to Assistant Manager - QC with CAPA taken."
Project/Research coordinator,Golden Community,Pokhara,[ 1 ],Mid Level,Not Disclosed,More than 1 year,https://merojob.com/projectresearch-coordinator/,"Coordinating with stakeholders for project activities, including workshops, trainings, and meetingsManaging logistics of the project.Writing reportsSupervising project activitiesPreparing budget projections and financial reportsDeveloping promotional materialsConducting qualitative interviews and focus group discussionsPerforming preliminary qualitative and quantitative data analysis Translating and proofreading documents"
Software Solutions Engineer,ZenNepal,Thamel,[ 1 ],Mid Level,"NRs. 50,000 - 100,000 Monthly",More than or equal to 2 years,https://merojob.com/software-solutions-engineer-8/,Onboard new users and configure their communications servicesUser Acceptance Testing Troubleshoot user account configurations when problems ariseEvaluate user account configurations for possible improvementsAssist technical and business teams to meet project requirementsAnswer support tickets from projects they are monitoringAttend client meetings to flesh out account needsMaintain information database for account supportScope and implement solutions/services based on client requirementsCreate technical documentationRecommend solutions and identify opportunities for improvement in existing servicesProvide training to users and internal teamsCollaborate with internal teams to help craft solutions
Training Professional,Numbur Vocational Training Centre,"Soludhundkunda Municipality-7, Garma",[ 1 ],Mid Level,Not Disclosed,More than 2 years,https://merojob.com/training-professional-2/,Qualifications: Graduate in Hospitality Small Hotel & Lodge Management. Experience: Minimum of 2 years in the relevant field. Can Teach English
Graphic Designer / Content Crea…,Kathmandu World School,"Suryabinayak-7, Gundu, Bhaktapur",[ 3 ],Mid Level,Not Disclosed,More than 1 year,https://merojob.com/graphic-designercontent-creator-2/,"Create visually appealing and effective graphics, illustrations, and designs for educational materials, websites, and social media platformsCollaborate with the marketing and content team to develop creative and engaging visual content that aligns with the organization's brand image and messagingTransform complex concepts and data into visually appealing and easy-to-understand infographicsKeep up-to-date with industry trends and innovative design techniques to continuously enhance the organization's visual presenceEnsure all graphics and designs are in line with the organization's visual standards and guidelinesWork closely with printers, vendors, and other departments to ensure timely delivery of projects"
Counselor,Times Management System,"Bansbari, Kathmandu",[ 1 ],Mid Level,"NRs. 30,000 - 40,000 Monthly",More than or equal to 1 year,https://merojob.com/counselor-586/,"Provide counseling and consultation services to clients in the manpower recruitment industryUnderstand client's recruitment needs and recommend appropriate solutionsDevelop and maintain strong relationships with clients to ensure their satisfactionCoordinate with internal teams to identify suitable candidate profiles for clientsUtilize recruitment databases and job portals for sourcing candidatesConduct interviews and assessments to evaluate candidate's skills and qualificationsProvide candidates with necessary information about job opportunities and prepare them for interviewsMaintain records of all recruitment activities, client interactions and candidate dataKeep updated with latest industry trends and market intelligence to provide strategic advice to clients"
Sales Officer,Times Business,Gairidhara,[ 1 ],Mid Level,Not Disclosed,More than or equal to 1 year,https://merojob.com/sales-officer-988/,"Conduct market visit, generate quality enquiries and conversion into salesReporting of the enquiries in the system and periodic updateCollection of the relevant database of the prospectCompetition analysis and report the activityAchieve monthly sales targetCollection of receivables if any"
Team Lead - Sales,WorldLink Communications,"Kantipathi, Kathmandu",[ 1 ],Senior Level,Not Disclosed,More than or equal to 6 years,https://merojob.com/team-lead-sales/,"Develop and execute sales strategies to acquire new customers and expand market share.Identify and qualify high-potential leads, ensuring a strong sales pipeline.Explore new markets to uncover business opportunities and emerging industry trends.Build and maintain relationships with key decision-makers in target industries.Lead negotiations and close high-value deals to drive revenue growth."
Assistant Manager - Enterprise …,WorldLink Communications,"Kantipath, Jawalakhel",[ 1 ],Mid Level,Not Disclosed,More than 3 years,https://merojob.com/assistant-manager-enterprise-solution-architect/,"Work closely with sales teams to understand customer requirements and design tailored networking and security solutions.Design and propose enterprise-grade networks including routers, switches, wireless solutions, firewalls (WAF, NGFW), and security architectures.Provide technical expertise in VMware solutions (vSphere, vSAN, NSX) for data center and cloud environments.Develop high-level and low-level designs for large enterprise, banking, and government networks.Conduct product demonstrations, proof of concepts (PoCs), and presentations to customers and partners.Assist in RFP/RFI response preparation by creating technical proposals, solution documents, and BOMs.Collaborate with post-sales teams to ensure seamless implementation of designed solutions.Stay updated on the latest technologies in networking, security, and virtualization to provide innovative solutions."
Intern - BIM And HVAC,SG Design Nepal,"Koteshwor, Kathmandu",[ 20 ],Entry Level,Not Disclosed,Not Required,https://merojob.com/intern-bim-and-hvac-design/,"Learn and develop skills in HVAC design and CAD drafting through hands-on training with AutoCAD, Revit, Navisworks, and other design tools.Work with a team of professionals to create MEP BIM models and gain experience in this rapidly growing field.Build practical knowledge and industry-specific expertise through participation in real projects.Demonstrate a strong work ethic and a willingness to learn and adapt to new challenges.Collaborate with colleagues to develop innovative solutions and contribute to the team's success."
Marketing And Communications Ma…,Tergar School Kathmandu,"Sitapaila -5, Nagarjun Municipality, Kathmandu",[ 1 ],Mid Level,"NRs. 25,000 - 50,000 Monthly",More than 3 years,https://merojob.com/marketing-and-communications-manager-7/,Work in collaboration with the Director of Operations and the Director of Fundraising to develop an annual marketing and communications strategyDevelop clear goals and objectives for marketing channelsTrack and analyze campaigns for quarterly feedback and improvement
