Job Title,Company,Location,No. of Openings,Job Level,Salary,Experience,Job URL,Job Description
Sales Trainee - 3 Month Paid Traineeship,Delta Autocorp Pvt. Ltd.,"Kathmandu, Kathmandu, Kathmandu District",3,Entry Level,Nrs. 15k Monthly,Fresher,https://www.kumarijob.com/delta-autocorp-pvt-ltd/59517-sales-trainee-3-month-paid-traineeship,"Engage with customers to understand their needs and provide appropriate product recommendations.
Effectively describe and demonstrate product features and benefits.
Assist in organizing and managing sales camps and promotional events.
Conduct outdoor sales activities to generate leads and drive conversions.
Maintain records of customer interactions and provide feedback to the sales team."
Salesman,ASIAN FOODS P.LTD,"Office ocations; Lazimpat , Kathmandu/ Manglapur, Tilottama Municipality, Rupandehi, Kathmandu, Kathmandu District",3,Senior Level,Nrs. 30K-40K Monthly,1 + year,https://www.kumarijob.com/asian-foods-pltd/59270-salesman,"We are looking for a highly motivated and dynamic individual to join our Sales/Marketing team in Bhairahawa/Butwal & Kathmandu as a Salesman for our products Maida , Atta, Suji etc. . As a Salesman, you will be responsible for driving sales, building relationships with vendors and wholesalers, and expanding our customer base across Kathmandu, Bhairahawa, Butwal, and surrounding areas. You will play a key role in ensuring the success of our product in the market."
Grade Teachers,LRI School,"Kathmandu, Kathmandu District",5,Mid Level,Nrs.  Monthly,2 + years,https://www.kumarijob.com/learning-realm-international-lri-school/59411-grade-teachers,"Develop and implement age-appropriate lesson plans that align with the curriculum for the assigned grade.
Use diverse teaching methods, including lectures, interactive activities, group work, and hands-on exercises.
Integrate various subjects (e.g., language arts, math, science, social studies) into a comprehensive learning experience.
Modify lesson plans to address the needs of students with diverse learning abilities."
Plan Operator,Fishtail Dairy Pvt Ltd,"Jagati Bhaktapur, Bhaktapur, Bhaktapur District",1,Senior Level,Nrs. 30K-40K Monthly,2 + years,https://www.kumarijob.com/fishtail-dairy-pvt-ltd/59647-plan-operator,"Operate and monitor dairy processing equipment, including pasteurizers, homogenizers, and separators.
Ensure compliance with food safety and hygiene standards.
Monitor and adjust machine settings to optimize efficiency and product quality.
Conduct routine maintenance and troubleshoot mechanical issues.
Keep accurate production records and report any deviations or faults.
Work closely with quality control and maintenance teams.
Follow company policies and safety procedures at all times."
Student Wellness Officer (Part-time),Prime College,"Nayabazar, Kathmandu, Kathmandu District",1,Entry Level,Nrs.  Monthly,1 + year,https://www.kumarijob.com/prime-college/59298-student-wellness-officer-part-time,"Serve as a confidential, approachable, and non-judgmental resource for students seeking wellness support.
Provide initial emotional support to students who are experiencing challenges such as stress, anxiety, family issues, academic pressure, or personal crises.
Maintain clear boundaries by offering supportive listening—not therapy—and connecting students with licensed professionals or counseling services as needed.
Coordinate with academic and administrative teams to create a supportive environment for students.
Help organize wellness awareness programs, workshops, and campaigns in collaboration with the Ethics & Standard Office.
Maintain accurate and confidential records of student interactions and referrals.
Follow up with students (as appropriate) to ensure they are receiving the support they need.
Promote a culture of care and well-being on campus."
Plan Operator,Fishtail Dairy Pvt Ltd,"Jagati Bhaktapur, Bhaktapur, Bhaktapur District",1,Senior Level,Nrs. 30K-40K Monthly,2 + years,https://www.kumarijob.com/fishtail-dairy-pvt-ltd/59647-plan-operator,"Operate and monitor dairy processing equipment, including pasteurizers, homogenizers, and separators.
Ensure compliance with food safety and hygiene standards.
Monitor and adjust machine settings to optimize efficiency and product quality.
Conduct routine maintenance and troubleshoot mechanical issues.
Keep accurate production records and report any deviations or faults.
Work closely with quality control and maintenance teams.
Follow company policies and safety procedures at all times."
Videographer,Arksh Group Pvt. Ltd.,"Lazimpat, Kathmandu District",1,Junior Level,"Nrs. 20k-25k Monthly 
                                                                                                            (Negotiable)",Fresher,https://www.kumarijob.com/ev-nepal/59682-videographer,"Produce high-quality video content for marketing and internal projects.
Collaborate with the marketing team to ensure content aligns with the brand’s vision.
Handle technical aspects of filming (lighting, sound, camera)."
Marketing Officer,Tinny Craft Pvt. Ltd.,"Kathmandu, Nepal",1,Mid Level,"Nrs. (30K-35K) Monthly 
                                                                                                            (Negotiable)",2 + years,https://www.kumarijob.com/tinny-craft-pvt-ltd/59519-marketing-officer,"Identify and approach potential clients through cold calls, references, and professional networking.
Promote pre-fabricated construction solutions to corporate clients, hydro projects, and the hospitality sector.
Develop and maintain strong client relationships to generate business opportunities.
Conduct market research to identify new leads and industry trends.
Work closely with the sales and technical teams to provide customized solutions.
Prepare and deliver presentations to potential clients.
Achieve sales and marketing targets as set by the company."
Sales Trainee - 3 Month Paid Traineeship,Delta Autocorp Pvt. Ltd.,"Kathmandu, Kathmandu, Kathmandu District",3,Entry Level,Nrs. 15k Monthly,Fresher,https://www.kumarijob.com/delta-autocorp-pvt-ltd/59517-sales-trainee-3-month-paid-traineeship,"Engage with customers to understand their needs and provide appropriate product recommendations.
Effectively describe and demonstrate product features and benefits.
Assist in organizing and managing sales camps and promotional events.
Conduct outdoor sales activities to generate leads and drive conversions.
Maintain records of customer interactions and provide feedback to the sales team."
Grade Teachers,LRI School,"Kathmandu, Kathmandu District",5,Mid Level,Nrs.  Monthly,2 + years,https://www.kumarijob.com/learning-realm-international-lri-school/59411-grade-teachers,"Develop and implement age-appropriate lesson plans that align with the curriculum for the assigned grade.
Use diverse teaching methods, including lectures, interactive activities, group work, and hands-on exercises.
Integrate various subjects (e.g., language arts, math, science, social studies) into a comprehensive learning experience.
Modify lesson plans to address the needs of students with diverse learning abilities."
Ticketing Officer / Outbound Tour Officer,Desire Nepal Treks Travels and Tours Pvt Ltd,"Thamel, Kathmandu, Kathmandu District",4,Mid Level,"Nrs.  Monthly 
                                                                                                            (Negotiable)",1 + year,https://www.kumarijob.com/desire-nepal-treks-travels-and-tours-pvt-ltd/59133-ticketing-officer-outbound-tour-officer,"Preparing travel itineraries, package costing, and proposals. Also, design and create new tour packages as per the customer’s needs.
Providing quotes of travel related services to individual and corporate clients as well as follow up with them.
Responding to customer inquiries by phone, email, and social media, as well as assisting them in booking their vacation package.
To follow up on customer inquiries, make outbound calls to them.
Identifying the customer's need, establishing an immediate rapport, and providing advice to meet their needs.
Correspondence, negotiation and liaison with suppliers to obtain necessary information required for a travel holiday package.
To maximize the opportunities, up-sell and cross-sell additional travel products and services.
To be able to process VISA of clients of different countries.
Handle bookings for hotels, transportation and sites of excursion, also become responsible for tour operation.
Collect information from tours leader after leading tours to find out good feedback for the service improvement
Make research to find out more attractive tourism destination or sites
To demonstrate a total commitment to customer service and to ensure that every customer has a holiday that exceeds their expectations.
To create and sell fixed-departure or individually-designed tailor made tours for customers.
To maximize revenue and profit, every genuine single query must be converted to a sale."
Counsellor,Harbour International Education,"Putalisadak, Kathmandu, Kathmandu District",1,Junior Level,"Nrs. 20k-25k Monthly 
                                                                                                            (Negotiable)",1 + year,https://www.kumarijob.com/harbour-international-education/59406-counsellor,"Advising and Assisting students in preparing required documents.
Communicating with education providers/ representatives via email, phone, etc.
Visa processing for students and dependents.
Provide education counselling to the students for their further studies for different country.
Researching and keeping updated on admission rules and country-specific overseas students' admission regulations.
Provide guidance and advice to students and families on the best study abroad programs.
Maintain up-to-date knowledge of the international education system.
Prepare and deliver presentations about study abroad programs.
Develops and implements strategies to increase sales and drive company growth
Identifies and establishes strategic partnerships to expand business reach
Carrying out client satisfaction surveys and reviews"
Content Creator/ Video Presenter,Business Studio,"Kathmandu, Kathmandu, Kathmandu District",1,Junior Level,Nrs. 20k-25k Monthly,1 + year,https://www.kumarijob.com/business-studio/59544-content-creator-video-presenter,"Content Creation: Develop and create original video content for a variety of platforms including YouTube, Instagram, TikTok, Facebook, and more. Topics may range from educational, entertainment, promotional, or product-related content.
On-Camera Presence: Present content on camera, engaging with the audience and maintaining a positive and professional demeanor. Ensure a clear and confident delivery while staying on message.
Scriptwriting and Storytelling: Write and prepare scripts or talking points for video presentations, ensuring content is informative, engaging, and aligned with brand messaging.
Video Production: Plan, shoot, and edit high-quality videos using professional or consumer-level equipment (camera, lighting, audio gear). Work with a team to assist with lighting, sound, and video composition.
Social Media Engagement: Actively engage with your audience on social media platforms by responding to comments, sharing behind-the-scenes content, and promoting new video releases.
Content Strategy: Collaborate with the marketing or content team to develop content strategies that align with the brand’s goals and target audience.
Trend Awareness: Stay updated on the latest trends in video content, social media, and digital marketing to ensure the content remains relevant and fresh.
Brand Representation: Represent the company or brand in a positive and professional manner both on and off camera. Maintain a consistent tone and style in all content to reflect the brand's voice.
Collaboration: Work closely with other team members, including video editors, graphic designers, and marketing specialists, to enhance the quality and effectiveness of content."
Public Relation Officer (PRO),Paradise International Pvt. Ltd.,"Kupondle, Lalitpur",8,Mid Level,"Nrs. (NPR 17,500 per month + Performance Bonus (Up to NPR 100,000)) Monthly 
                                                                                                            (Negotiable)",1 + year,https://www.kumarijob.com/paradise-international/59280-public-relation-officer-pro,"Develop and execute PR strategies to enhance the company’s image.
Build and maintain strong relationships with media, clients, and stakeholders.
Handle media inquiries, write press releases, and manage public communications.
Monitor media coverage and provide reports to management.
Address public inquiries, complaints, and crisis situations effectively.
Collaborate with the marketing team for promotional campaigns."
Content Creator,Arksh Group Pvt. Ltd.,"Lazimpat, Kathmandu District",1,Junior Level,"Nrs. 25K-30K Monthly 
                                                                                                            (Negotiable)",6 months,https://www.kumarijob.com/ev-nepal/59683-content-creator,"Develop original content for websites, blogs, and social media platforms.
Ensure content aligns with the company’s brand and marketing goals.
Stay informed on digital marketing trends and best practices"
Marketing Officer,Tinny Craft Pvt. Ltd.,"Kathmandu, Nepal",1,Mid Level,"Nrs. (30K-35K) Monthly 
                                                                                                            (Negotiable)",2 + years,https://www.kumarijob.com/tinny-craft-pvt-ltd/59519-marketing-officer,"Identify and approach potential clients through cold calls, references, and professional networking.
Promote pre-fabricated construction solutions to corporate clients, hydro projects, and the hospitality sector.
Develop and maintain strong client relationships to generate business opportunities.
Conduct market research to identify new leads and industry trends.
Work closely with the sales and technical teams to provide customized solutions.
Prepare and deliver presentations to potential clients.
Achieve sales and marketing targets as set by the company."
Sales Trainee - 3 Month Paid Traineeship,Delta Autocorp Pvt. Ltd.,"Kathmandu, Kathmandu, Kathmandu District",3,Entry Level,Nrs. 15k Monthly,Fresher,https://www.kumarijob.com/delta-autocorp-pvt-ltd/59517-sales-trainee-3-month-paid-traineeship,"Engage with customers to understand their needs and provide appropriate product recommendations.
Effectively describe and demonstrate product features and benefits.
Assist in organizing and managing sales camps and promotional events.
Conduct outdoor sales activities to generate leads and drive conversions.
Maintain records of customer interactions and provide feedback to the sales team."
Internship Opportunity at Giftmandu,Giftmandu.com,"Khumaltar, Lalitpur, Lalitpur District",4,Entry Level,15k-20k Monthly,Fresher,https://www.kumarijob.com/giftmanducom/59448-internship-opportunity-at-giftmandu,"Order Processing: Assist in managing online orders, ensuring accuracy in packaging and dispatch.
Gift Wrapping Staff: Help with professional gift wrapping, ensuring beautifully presented packages.
Customer Support: Respond to customer inquiries via email, chat, and phone, ensuring excellent service.
Delivery Management: Coordinate with the delivery team, organize shipments, and track orders."
Content & Social Media Officer,UHS Holdings Pvt. Ltd.,"Gairidhara, Kathmandu",1,Mid Level,"Nrs.  Monthly 
                                                                                                            (Negotiable)",Not mentioned,https://www.kumarijob.com/uhs-holdings-pvt-ltd/59714-content-social-media-officer,"Plan and create engaging content formats: static posts, carousels, videos, reels, stories, and live sessions.
Shoot, edit, and produce original content, especially short-form video (reels, TikToks).
Write impactful and brand-aligned captions, scripts, and creative copy.
Maintain a structured content calendar across all brand platforms."
Native Android App Developer,Hot Stone,"Kathmandu, Kathmandu District",1,Mid Level,"Nrs.  Monthly 
                                                                                                            (Negotiable)",2 + years,https://www.kumarijob.com/hot-stone/59545-native-android-app-developer,"Design and develop high-quality, scalable, and efficient Android applications.
Collaborate with cross-functional teams to define app features and requirements.
Integrate third-party APIs and services into Android applications."
ECA (Extra-Curricular Activities) Teachers,Eden Bridge Academy,"Dhapasi, Budhanilkantha, Kathmandu District",1,Junior Level,"Nrs. 25K-30K Monthly 
                                                                                                            (Negotiable)",2 + years,https://www.kumarijob.com/eden-bridge-academy/59489-eca-extra-curricular-activities-teachers,"Games and Sports
Art and craft
Football
Basketball
Music"
Sales Executive - Electric Veichle (EV),Nepal Zangni International Logistics (Automobile Divisons),"Bagdol, Lalitpur, Lalitpur District",2,Junior Level,Nrs. 25K-30K Monthly,2 + years,https://www.kumarijob.com/nepal-zangni-international-logistics/59653-sales-executive-electric-veichle-ev,"Identify potential customers and generate sales leads for electric vehicles.
Explain EV features, benefits, and technology to customers.
Organize test drives and provide product demonstrations.
Build and maintain strong relationships with clients and partners.
Achieve individual and team sales targets.
Provide after-sales support and ensure customer satisfaction.
Stay updated on EV market trends, products, and competitors.
Participate in marketing campaigns, events, and roadshows."
Japanese Language Instructor,Good Plan Academy Pvt. Ltd.,"Kathmandu, Nepal",2,Mid Level,"Nrs. 60K-80K Monthly 
                                                                                                            (Negotiable)",1 + year,https://www.kumarijob.com/good-plan-academy-pvt-ltd/59593-japanese-language-instructor,"Conduct engaging and interactive Japanese language classes.
Prepare lesson plans and tailor content according to the proficiency level of students.
Provide individual support to students needing extra help.
Assist in preparing students for JLPT N5 to N2 level examinations.
Incorporate Japanese cultural elements to enrich the learning experience.
Monitor and evaluate students’ progress and provide regular feedback.
Maintain classroom discipline and a positive learning environment.
Participate in curriculum development and academic meetings."
Sales Officer,Mansiri organisations,"Lalitpur, Lalitpur, Lalitpur District",2,Mid Level,"Nrs. (Negotiable) Monthly 
                                                                                                            (Negotiable)",1 + year,https://www.kumarijob.com/mansiri-organisations/59491-sales-officer,"Identify and develop new business opportunities to achieve sales targets.
Build and maintain strong relationships with customers and clients.
Conduct market research to identify customer needs and preferences.
Promote and sell company products/services through various sales techniques.
Negotiate contracts, pricing, and terms with clients.
Maintain accurate records of sales activities, customer interactions, and follow-ups.
Collaborate with the marketing team to implement promotional strategies.
Provide after-sales support and ensure customer satisfaction."
Ticketing Officer / Outbound Tour Officer,Desire Nepal Treks Travels and Tours Pvt Ltd,"Thamel, Kathmandu, Kathmandu District",4,Mid Level,"Nrs.  Monthly 
                                                                                                            (Negotiable)",1 + year,https://www.kumarijob.com/desire-nepal-treks-travels-and-tours-pvt-ltd/59133-ticketing-officer-outbound-tour-officer,"Preparing travel itineraries, package costing, and proposals. Also, design and create new tour packages as per the customer’s needs.
Providing quotes of travel related services to individual and corporate clients as well as follow up with them.
Responding to customer inquiries by phone, email, and social media, as well as assisting them in booking their vacation package.
To follow up on customer inquiries, make outbound calls to them.
Identifying the customer's need, establishing an immediate rapport, and providing advice to meet their needs.
Correspondence, negotiation and liaison with suppliers to obtain necessary information required for a travel holiday package.
To maximize the opportunities, up-sell and cross-sell additional travel products and services.
To be able to process VISA of clients of different countries.
Handle bookings for hotels, transportation and sites of excursion, also become responsible for tour operation.
Collect information from tours leader after leading tours to find out good feedback for the service improvement
Make research to find out more attractive tourism destination or sites
To demonstrate a total commitment to customer service and to ensure that every customer has a holiday that exceeds their expectations.
To create and sell fixed-departure or individually-designed tailor made tours for customers.
To maximize revenue and profit, every genuine single query must be converted to a sale."
Secondary English teacher,Eden Bridge Academy,"Dhapasi, Kathmandu, Kathmandu District",2,Junior Level,"Nrs.  Monthly 
                                                                                                            (Negotiable)",1 + year,https://www.kumarijob.com/eden-bridge-academy/59498-secondary-english-teacher,"Organize classroom lectures and coursework
Prepare materials and activities
Identify students with special requirements and create individualized plans
Determine exam and assignment grades
Provide feedback based on workload and classroom behaviour
Keep a record of students’ attendance and grades
Research new language teaching methods
Collaborate with teaching staff and administrators to foster a good student experience"
Student Wellness Officer (Part-time),Prime College,"Nayabazar, Kathmandu, Kathmandu District",1,Entry Level,Nrs.  Monthly,1 + year,https://www.kumarijob.com/prime-college/59298-student-wellness-officer-part-time,"Serve as a confidential, approachable, and non-judgmental resource for students seeking wellness support.
Provide initial emotional support to students who are experiencing challenges such as stress, anxiety, family issues, academic pressure, or personal crises.
Maintain clear boundaries by offering supportive listening—not therapy—and connecting students with licensed professionals or counseling services as needed.
Coordinate with academic and administrative teams to create a supportive environment for students.
Help organize wellness awareness programs, workshops, and campaigns in collaboration with the Ethics & Standard Office.
Maintain accurate and confidential records of student interactions and referrals.
Follow up with students (as appropriate) to ensure they are receiving the support they need.
Promote a culture of care and well-being on campus."
Marketing & Communication Officer,Evolution Trading Pvt. Ltd.,"Bakhundole, Lalitpur",1,Mid Level,(Negotiable),2 + years,https://www.kumarijob.com/evolution-trading-pvt-ltd/59523-marketing-communication-officer,"Store activation & Offers: Plan and coordinate in-store activations, ensure that store branding, displays and digital screens align with marketing campaigns, work with the sales team to develop exciting offers and promotions.
Brand activation: Develop and execute brand activation strategies to enhance customer engagement.
Promotional Campaigns: Plan and implement marketing campaigns for new product launches, sales events and promotional activities.
Launch Event Planning: Organize product demos, launch exciting events and interactive experiences to showcase new tech products.
Social Media and Digital Marketing: Manage and grow the brand’s social media presence across key platforms like Facebook, Instagram and Tiktok, implement digital marketing tactics to improve brand reach and customer interaction.
12- Month Marketing Calendar and Coordination: Develop and maintain a yearly marketing calendar, aligning with product launches, seasonal sales/discounts, campaigns, events etc.
Campaign Analysis: Measure the effectiveness of marketing campaigns and adjusting strategies as needed.
Budget Management: Manage the marketing and promotional budget."
Area Sales Representative (Honda),Padma Jyoti Group,Janakpur - 1,10,Entry Level,"Nrs. (Negotiable) Monthly 
                                                                                                            (Negotiable)",Fresher,https://www.kumarijob.com/jyoti-group-1/59750-area-sales-representative-honda,"Generating leads.
Meeting or exceeding sales goals.
Negotiating all contracts with prospective clients.
Preparing and submitting sales contracts for orders.
Answering client questions about credit terms, products, prices, and availability.
Willing to travel among showrooms for monitoring."
Japanese Language Instructor,Good Plan Academy Pvt. Ltd.,"Kathmandu, Nepal",2,Mid Level,"Nrs. 60K-80K Monthly 
                                                                                                            (Negotiable)",1 + year,https://www.kumarijob.com/good-plan-academy-pvt-ltd/59593-japanese-language-instructor,"Conduct engaging and interactive Japanese language classes.
Prepare lesson plans and tailor content according to the proficiency level of students.
Provide individual support to students needing extra help.
Assist in preparing students for JLPT N5 to N2 level examinations.
Incorporate Japanese cultural elements to enrich the learning experience.
Monitor and evaluate students’ progress and provide regular feedback.
Maintain classroom discipline and a positive learning environment.
Participate in curriculum development and academic meetings."
Documentation Expert,Thakur International and Investment Pvt. Ltd.,"Chundevi Marg, Maharajgunj, Kathmandu, Nepal, Kathmandu, Kathmandu District",5,Top Level,"Nrs.  Monthly 
                                                                                                            (Negotiable)",2 + years,https://www.kumarijob.com/thakur-international-and-investment-pvt-ltd/59595-documentation-expert,"Drafting project proposals for government, international agencies, and private sector clients.
Ensuring compliance with funding guidelines and donor requirements.
Conducting research to support proposal narratives and budgets."
Sales Executive - Electric Veichle (EV),Nepal Zangni International Logistics (Automobile Divisons),"Bagdol, Lalitpur, Lalitpur District",2,Junior Level,Nrs. 25K-30K Monthly,2 + years,https://www.kumarijob.com/nepal-zangni-international-logistics/59653-sales-executive-electric-veichle-ev,"Identify potential customers and generate sales leads for electric vehicles.
Explain EV features, benefits, and technology to customers.
Organize test drives and provide product demonstrations.
Build and maintain strong relationships with clients and partners.
Achieve individual and team sales targets.
Provide after-sales support and ensure customer satisfaction.
Stay updated on EV market trends, products, and competitors.
Participate in marketing campaigns, events, and roadshows."
Visa Officer,Skyline Travel and Tours Pvt Ltd,"Dhobidhara,Putalisadak (Milan Sadan Building 4th floor ) - near chiya ghar, Kathmandu, Kathmandu District, Kathmandu, Kathmandu District",2,Mid Level,Nrs. (Negotiable) Monthly,2 + years,https://www.kumarijob.com/skyline-travel-and-tours-pvt-ltd/59468-visa-officer,"Process visa applications for various countries, ensuring accuracy and completeness.
Review and verify client documents as per embassy requirements.
Provide guidance to clients on visa requirements, processing times, and interview preparation.
Coordinate with embassies, consulates, and visa application centers.
Track application statuses and update clients accordingly.
Maintain accurate records of visa applications and approvals.
Stay updated on immigration laws and policy changes.
Handle queries from clients and provide professional customer service.
Assist with other administrative and travel-related tasks as required."
Native Android App Developer,Hot Stone,"Kathmandu, Kathmandu District",1,Mid Level,"Nrs.  Monthly 
                                                                                                            (Negotiable)",2 + years,https://www.kumarijob.com/hot-stone/59545-native-android-app-developer,"Design and develop high-quality, scalable, and efficient Android applications.
Collaborate with cross-functional teams to define app features and requirements.
Integrate third-party APIs and services into Android applications."
Japanese Language Teacher,Harbour International Education,"Kathmandu, Kathmandu District",1,Junior Level,Not mentioned,2 + years,https://www.kumarijob.com/harbour-international-education/59315-japanese-language-teacher,"Conduct engaging Language Classes.
Develop lesson plans, practice materials, and mock tests to enhance student performance.
Provide personalized feedback and strategies for score improvement.
Track student progress and guide them through the exam process.
Stay updated with the latest Japanese Language exam patterns and strategies.
Adapt teaching methods to cater to various language proficiency tests."
Internship Opportunity at Giftmandu,Giftmandu.com,"Khumaltar, Lalitpur, Lalitpur District",4,Entry Level,15k-20k Monthly,Fresher,https://www.kumarijob.com/giftmanducom/59448-internship-opportunity-at-giftmandu,"Order Processing: Assist in managing online orders, ensuring accuracy in packaging and dispatch.
Gift Wrapping Staff: Help with professional gift wrapping, ensuring beautifully presented packages.
Customer Support: Respond to customer inquiries via email, chat, and phone, ensuring excellent service.
Delivery Management: Coordinate with the delivery team, organize shipments, and track orders."
Sales Officer,Times Business Pvt. Ltd.,"Gairidhara, Kathmandu, Kathmandu, Kathmandu District",5,Senior Level,Nrs. 20k-25k Monthly,1 + year,https://www.kumarijob.com/times-business-pvtltd-1/59449-sales-officer,"This is a full-time role for sales officer. the sales officer will be responsible for below task.
Prepare the monthly and daily visit plans and execute the coverage plan
Conduct market visit, generate quality enquiries and conversion into sales
Reporting of the enquiries in the system and periodic update
Collection of the relevant database of the prospect
Competition analysis and report the activity
Achieve monthly sales target
Collection of receivables if any"
