Job_Title,Company,Location,Job Level,Salary,Job Description
Receptionist cum Office Secretary,Swostik Construction,"Buddhanagar, Kathmandu, Nepal",Mid level,Negotiable,"Greet and assist visitors in a professional and friendly manner.
Answer and direct phone calls to the appropriate departments.
Maintain office records, files, and documentation.
Fluent in English (both speaking and writing).
Prepare letters, emails, reports, and other correspondence.
Professionalism in handling office software, emails, and digital documentation.
Strong verbal and written communication skills.
Proficiency in MS Office (Word, Excel, PowerPoint, Outlook).
Excellent organizational and multitasking abilities.
Professional appearance and a positive attitude.
Ability to maintain confidentiality and handle sensitive information."
Digital Marketing Executive,Masta Kala Crafts,"Chamati, Kathmandu, Nepal",Mid level,NPR 25K - 30K,"Develop and implement digital marketing strategies to achieve business goals.
Manage and optimize campaigns across platforms like Google Ads, Facebook, Instagram, LinkedIn, and other digital channels.
Monitor, analyze, and report on campaign performance to maximize ROI.
Optimize website content and structure for better search engine visibility (SEO).
Collaborate with web developers and content creators to enhance website performance.
Conduct keyword research and track website analytics to improve traffic and ranking.
Plan and manage social media content, engagement, and advertising.
Create compelling content, including graphics, videos, and copywriting for social platforms.
Monitor social media trends and interactions to enhance brand presence.
Develop and execute content marketing strategies, including blogs, newsletters, and video content.
Manage email marketing campaigns to ensure high engagement and conversion rates.
Create targeted email sequences for customer acquisition and retention.
Use tools like Google Analytics, Facebook Business Manager, and other reporting tools to track and measure campaign effectiveness.
Provide insights and recommendations to improve marketing strategies.
Monitor competitor activity and market trends to stay ahead in the digital space.
Bachelor's degree in Marketing, Digital Marketing, or a related field.
1-3 years of experience in digital marketing, SEO, PPC, and social media management.
Proficiency in Google Ads, Facebook Ads Manager, and email marketing tools.
Strong knowledge of SEO best practices and website analytics.
Excellent communication, creativity, and analytical skills.
Ability to work in a fast-paced environment and manage multiple campaigns effectively.
Competitive salary and performance incentives.
Opportunities for professional growth and development.
A dynamic and creative work environment."
Junior Graphic Design Assistant,Masta Kala Crafts,"Chamati, Kathmandu, Nepal",Junior,NPR 12K - 15K,"Develop unique and creative designs that reflect the customer's vision while adhering to brand standards.
Utilize graphic design software to create digital mock-ups, prototypes of product designs, banners, posts, etc.
Iterate on designs based on customer feedback, making adjustments as needed to ensure satisfaction.
Prepare final files for production, including vector files for laser cutting or 3D printing.
Create visually appealing designs for retail products such as mugs, t-shirts, tote bags, stationery, etc.
Develop original artwork, illustrations, and patterns that resonate with the target audience.
Collaborate with the marketing team to create product mock-ups and promotional graphics for online and offline channels.
Ensure that retail designs are consistent with brand identity and messaging across all platforms.
Stay updated on design trends, market insights, and customer preferences to inform product development and design decisions.
Handle bulk orders requiring personalized names or messages, such as wedding favors, corporate gifts, or party favors.
Efficiently edit and customize names or text based on customer-provided information.
Maintain accuracy and consistency in spelling, font styles, and design elements across all personalized orders.
Manage workflow and prioritize tasks to meet deadlines for bulk order processing.
Communicate with customers regarding any clarification or customization requests to ensure satisfaction.
Basic proficiency in Adobe Photoshop, Illustrator, and InDesign (experience with other design tools is a plus).
Knowledge of typography, color theory, and layout design.
Ability to take direction and incorporate feedback into designs.
Strong attention to detail and creativity.
Good communication and teamwork skills.
Ability to work under deadlines and manage time effectively.
A portfolio showcasing design work is preferred.
Degree or certification in Graphic Design, Visual Arts, or a related field."
Social Media Intern,Masta Kala Crafts,"Chamati, Kathmandu, Nepal",Intern,NPR 10K,"Assist in managing and maintaining company social media accounts, including Facebook, Instagram, and LinkedIn.
Create and schedule posts to promote brand awareness, engage followers, and drive traffic to the website.
Monitor social media channels for comments, messages, and mentions, and respond promptly and professionally.
Develop creative and compelling content for social media posts, including graphics, videos, memes, and gifs.
Collaborate with the marketing team to brainstorm ideas and themes for social media campaigns and initiatives.
Ensure consistency in brand, messaging, and visual identity across all online platforms.
Engage with the online community by liking, commenting on, and sharing relevant content from followers and other accounts.
Foster meaningful interactions with followers through polls and contests.
Identify opportunities to collaborate with influencers, partners, or brand advocates to expand reach and audience.
Track and analyze key performance metrics, including engagement rates, follower growth, and click-through rates.
Generate regular reports summarizing social media performance and providing insights for optimization.
Use analytics data to identify trends, audience preferences, and areas for improvement in the social media strategy.
Currently enrolled in a degree program in Marketing, Communications, Digital Media, or a related field.
Basic understanding of social media platforms, trends, and best practices.
Demonstrated ability to think creatively and develop engaging content for online audiences.
Strong written and verbal communication skills with attention to detail.
Collaborative mindset with the ability to work effectively in a team environment.
Comfortable using social media management tools, graphic design software, and video editing tools.
Proactive and self-motivated with a willingness to learn and take on new challenges.
Ability to manage multiple tasks and deadlines in a fast-paced environment.
Eagerness to learn about digital marketing, social media analytics, and online branding.
Adherence to company policies and guidelines regarding online behavior and brand representation
Competitive salary and performance incentives.
Opportunities for professional growth and development.
A dynamic and creative work environment."
Warehouse Assistant,Masta Kala Crafts,"Chamati, Kathmandu, Nepal",Mid level,NPR 21K - 25K,"Develop and implement logistics strategies, policies, and procedures to streamline operations and meet organizational objectives.
Collaborate with senior management to align logistics initiatives with overall business goals and objectives.
Conduct regular analysis of logistics processes and performance metrics to identify areas for improvement and optimization.
Oversee inventory control processes, including inventory tracking, stock replenishment, and cycle counting.
Monitor inventory levels to ensure adequate stock availability while minimizing excess inventory and holding costs.
Coordinate with purchasing and procurement teams to forecast demand and maintain optimal inventory levels.
Manage warehouse facilities, layout, and organization to maximize efficiency and productivity.
Supervise warehouse staff, including hiring, training, scheduling, and performance management.
Implement safety protocols and ensure compliance with health and safety regulations in warehouse operations.
Coordinate transportation activities, including scheduling shipments, dispatching drivers, and managing freight carriers.
Optimize transportation routes and modes to minimize costs and transit times while maximizing service levels.
Track shipments in transit and resolve any issues or delays to ensure on-time delivery to customers.
Negotiate contracts and service agreements with logistics service providers, carriers, and suppliers.
Evaluate vendor performance and service quality, and implement corrective actions or improvements as needed.
Build and maintain strong relationships with key suppliers and partners to ensure reliable and cost-effective logistics solutions.
Serve as the primary point of contact for logistics-related inquiries and issues from internal stakeholders and external customers.
Communicate proactively with customers regarding order status, shipment tracking, and delivery updates.
Address customer concerns or complaints promptly and effectively to ensure satisfaction and retention.
Previous experience in a warehouse or logistics role is a plus.
Ability to lift and move heavy items as needed.
Basic knowledge of inventory systems and order processing.
Strong attention to detail and organizational skills.
Ability to work in a fast-paced environment and follow instructions.
Ability to work independently and as part of a team.
Competitive salary and overtime opportunities.
Career growth and training programs.
A supportive and team-oriented work environment."
Stall Sales and Customer Service Assistant,Masta Kala Crafts,"Chamati, Kathmandu, Nepal",Mid level,NPR 18K,"Set up and manage the Masta Kala Crafts stall at events, fairs, and exhibitions.
Engage with visitors to showcase our range of authentic Nepali handicrafts.
Educate customers about the cultural significance and craftsmanship behind each product.
Assist customers in selecting the perfect handicrafts based on their preferences and interests.
Process sales transactions accurately using cash registers or mobile payment systems.
Maintain cleanliness and organization of the stall, including arranging products attractively.
Monitor inventory levels and restock merchandise as needed to ensure availability.
Collaborate with the team to meet or exceed sales targets and revenue goals.
Provide warm, welcoming, and personalized customer service to all visitors at the stall.
Act as a brand ambassador for Masta Kala Crafts, sharing knowledge about our artisans and their techniques.
Address customer inquiries, concerns, and feedback in a professional and timely manner.
Handle and resolve customer complaints or issues with empathy and efficiency.
Build and maintain strong relationships with customers to encourage repeat business and referrals.
Collect feedback from customers to identify opportunities for product improvement or expansion.
High school diploma or equivalent; Bachelor’s degree preferred.
Previous experience in sales, customer service, or retail is advantageous.
Excellent communication and interpersonal skills with a customer-centric mindset.
Ability to work effectively in a fast-paced, dynamic environment.
Strong attention to detail and organizational abilities.
Flexibility to work weekends and evenings as required for events."
Accountant,Masta Kala Crafts,"Chamati, Kathmandu, Nepal",Mid level,NPR 25K - 30K,"Maintain and update financial records, including general ledger accounts, journals, and other accounting documents.
Ensure all financial transactions are accurately and promptly recorded.
Prepare and present monthly, quarterly, and annual financial statements, including balance sheets, income statements, and cash flow statements.
Ensure financial statements comply with company policies and regulatory requirements.
Assist in the preparation and management of the annual budget and financial forecasts.
Monitor budget variances and provide insightful analysis and recommendations.
Manage the accounts payable process, including invoice verification, payment processing, and vendor reconciliation.
Oversee accounts receivable, including invoicing, collections, and customer account reconciliations.
Perform regular bank reconciliations to ensure alignment between company records and bank statements.
Investigate and resolve any discrepancies in a timely manner.
Prepare and submit accurate and timely tax returns (e.g., VAT, income tax, corporate tax) in compliance with local, state, and federal regulations.
Liaise with tax authorities and external auditors as required.
Assist in the preparation for internal and external audits, providing necessary documentation and explanations.
Implement audit recommendations and ensure compliance with audit requirements.
Conduct detailed financial analysis to identify trends, variances, and areas for cost reduction or improvement.
Provide financial insights to support strategic decision-making.
Ensure adherence to company policies, procedures, and internal controls.
Identify and solve financial risks.
Continuously evaluate and improve financial processes and systems for efficiency and accuracy.
Implement best practices in accounting and financial management.
Collaborate with other departments to provide financial guidance and support.
Assist in training and mentoring junior accounting staff as needed.
Bachelor’s degree in Accounting, Finance, or a related field.
Minimum of 2 years of accounting experience.
Proficiency in accounting software (e.g., Tally, or similar).
Strong understanding of accounting principles and practices.
Experience with financial reporting, budgeting, and tax compliance.
Excellent attention to detail and accuracy.
Strong organizational and time-management skills.
Good communication skills, both verbal and written.
Ability to work independently and as part of a team.
Hands-on experience in a professional design environment.
Opportunity to learn and grow within the team.
Flexible work culture.
Incentives.
Quarterly appraisal."
Graphic Design Intern,Masta Kala Crafts,"Chamati, Kathmandu, Nepal",Intern,NPR 10K,"Collaborate with customers to understand their preferences, themes, and personalization requirements.
Develop unique and creative designs that reflect the customer's vision while adhering to brand standards.
Utilize graphic design software to create digital mock-ups, prototypes of product designs, banners, and social media posts.
Iterate on designs based on customer feedback, making adjustments as needed to ensure satisfaction.
Prepare final files for production, including vector files for laser cutting or 3D printing.
Create visually appealing designs for retail products such as mugs, t-shirts, tote bags, and stationery.
Develop original artwork, illustrations, and patterns that resonate with the target audience.
Collaborate with the marketing team to create product mock-ups and promotional graphics for online and offline channels.
Ensure that retail designs are consistent with brand identity and messaging across all platforms.
Stay updated on design trends, market insights, and customer preferences to inform product development and design decisions.
Handle bulk orders requiring personalized names or messages, such as wedding favors, corporate gifts, or party favors.
Efficiently edit and customize names or text based on customer-provided information.
Maintain accuracy and consistency in spelling, font styles, and design elements across all personalized orders.
Manage workflow and prioritize tasks to meet deadlines for bulk order processing.
Communicate with customers regarding any clarification or customization requests to ensure satisfaction.
Update order progress charts and track the status of order numbers

Other Specification 
 Currently pursuing or recently completed a degree in Graphic Design, Visual Arts, or a related field.
Proficiency in design tools such as Adobe Photoshop, Illustrator, and Canva.
Strong creative and conceptual thinking skills.
Basic knowledge of typography, color theory, and layout principles.
Ability to work collaboratively and adapt to feedback."
Operational Assistant,Masta Kala Crafts,"Chamati, Kathmandu, Nepal",Junior,NPR 20K - 25K,"Handle day-to-day office operations and administrative tasks efficiently.
Assist in office paperwork, filing, and documentation management.
Provide general support to other staff members as needed.
Communicate effectively with clients and visitors while maintaining a professional demeanor.
Assist in scheduling meetings and appointments when required.
Visit banks for deposits, withdrawals, document submissions, and other financial tasks.
Ensure timely processing of financial transactions and maintain proper records.
Manage ward office-related tasks, including documentation, approvals, and inquiries.
Coordinate with government offices for necessary permits, documentation, and compliance matters.
Liaise with vendors, suppliers, and service providers for office-related needs.
Ensure timely procurement of office supplies and materials.
Handle day-to-day office errands, including deliveries, pickups, and paperwork submissions.
Ensure timely completion of all assigned outdoor tasks.
Previous experience in an administrative or operational role (preferred).
Strong organizational and multitasking skills.
Good communication and interpersonal abilities.
Basic knowledge of banking and government office procedures.
Ability to work independently and handle outdoor tasks efficiently.
Competitive salary and benefits package.
Opportunities for career growth and skill development.
Supportive and collaborative work environment."
Front Desk Officer,SK Ventures Pvt Ltd,"Bishal Nagar, Kathmandu, Nepal",Associate,NPR 20K - 25K,"Answer and direct phone calls in a polite and friendly manner
Take messages and communicate to appropriate employees.
Greet visitors and escort them to the appropriate office or person.
Respond to visitor’s questions professionally and courteously.
Maintain reception area and all common areas in a clean and tidy manner.
Inspecting daily cleaning checklist and ensuring to make it done.
Take inventory of stationery supplies and restock as needed.
Provide basic and accurate information in-person and via phone/email.
Ensure all customer interactions are conducted with a high level of professionalism and service orientation.
Bachelor's degree in any field.
Proficient in Microsoft Office.
At least 1 year of experience as a front desk officer.
Excellent communicator along with convincing abilities.
Friendly and welcoming personality.
High level of punctuality and reliability.
Ability to work independently and as part of a team.
Excellent customer service orientation and interpersonal skills."
Female Therapist,Reputed Spa,"Maharajgunj, Kathmandu, Nepal",Entry Level,NPR 20K - 30K,"Perform a variety of treatments, including massages, facials, body scrubs, waxing, and other beauty therapies, tailored to client needs.
Consult with clients to understand their preferences and recommend suitable treatments.
Maintain a clean, hygienic, and organized workspace, adhering to safety and sanitation standards.
Stay updated on the latest beauty trends, techniques, and spa products.
Handle client inquiries, bookings, and feedback professionally and courteously.
Ensure all equipment and tools are in proper working condition and report any issues to management.
Proven experience as a therapist in a spa or wellness center.
Strong knowledge of anatomy, physiology, and various treatment techniques.
Excellent communication and interpersonal skills.
Ability to maintain a calm, welcoming, and professional demeanor.
Physical stamina to perform treatments for extended periods.
Awareness of hygiene and safety standards."
Video Editor,Public 4K TV,"Maharajgunj, Kathmandu, Nepal",Mid level,Negotiable,"Edit and refine videos, Enhance visuals with effects, transitions, and animations.
Optimize content for YouTube, Instagram, Facebook, and TikTok.
Adjust color, lighting, and sound for professional quality.
Develop engaging video stories aligned with brand goals.
Deliver projects on time while maintaining high standards.
Proficiency in using Premiere Pro, Final Cut Pro, or any editing software
Experience with After Effects, Photoshop, or Illustrator.
Strong storytelling and creative editing skills.
Knowledge of color correction and sound design.
Awareness of the latest video trends and social media formats.
Ability to work efficiently under deadlines."
Motion Graphics Animator,Public 4K TV,"Maharajgunj, Kathmandu, Nepal",Mid level,Negotiable,"Create engaging motion graphics and animations using After Effects, Blender, or Cinema 4D.
Design dynamic visuals, kinetic typography, and animated infographics.
Develop 2D/3D animations for social media, advertisements, and branding content.
Enhance videos with effects, transitions, and compositing techniques.
Collaborate with designers, video editors, and marketing teams to align animations with brand goals.
Optimize animations for different platforms, including YouTube, Instagram, and websites.
Stay updated with the latest trends in motion graphics and animation.
Proficiency in After Effects, Illustrator, and Photoshop (Cinema 4D or Blender is a plus).
Strong understanding of animation principles, timing, and visual storytelling.
Experience in kinetic typography, logo animation, and VFX.
Basic video editing skills in Premiere Pro or DaVinci Resolve.
Creativity, attention to detail, and ability to work under tight deadlines."
Social Media Handler/ Content Creator,Public 4K TV,"Maharajgunj, Kathmandu, Nepal",Mid level,Negotiable,"Manage and grow social media platforms (Facebook, Instagram, TikTok, LinkedIn, YouTube, etc.).
Create engaging content, including posts, graphics, videos, and stories.
Plan and schedule content using tools like Meta Business Suite, Hootsuite, or Buffer.
Monitor trends, hashtags, and viral content to boost engagement.
Respond to comments, messages, and community interactions in a timely manner.
Track and analyze social media performance using analytics tools.
Collaborate with the marketing team to align content with brand goals.
Stay updated on the latest social media trends, platform updates, and best practices.
Experience in social media management and content creation.
Proficiency in Canva, Photoshop, or other design tools.
Basic video editing skills (Premiere Pro, CapCut, or similar).
Strong writing skills for captions and engaging storytelling.
Understanding of social media algorithms, SEO, and hashtag strategy.
Creativity, adaptability, and the ability to work under deadlines."
Front Desk Officer,Public 4K TV,"Maharajgunj, Kathmandu, Nepal",Not Found,Negotiable,"Greet and assist visitors, clients, and media personnel professionally.
Handle incoming calls, emails, and inquiries, directing them to the appropriate departments.
Maintain a well-organized reception area and manage appointments.
Assist in scheduling meetings, interviews, and events.
Keep records of guests, calls, and correspondence efficiently.
Coordinate with internal teams to ensure smooth office operations.
Provide basic administrative support, including document handling and data entry.
Uphold a positive company image and ensure excellent customer service.
Prior experience in front desk or customer service roles preferred.
Strong communication skills in English and local languages.
Proficiency in MS Office (Word, Excel, Outlook).
Friendly, presentable, and professional demeanor.
Ability to multitask and handle a fast-paced work environment.
Basic knowledge of media industry operations is a plus."
News reporter/ Presentor,Public 4K TV,"Maharajgunj, Kathmandu, Nepal",Mid level,Negotiable,"Deliver news reports confidently and professionally on camera.
Ensure fluency, clarity, and accuracy in news scripts.
Cover live events and breaking news updates effectively.
Conduct in-depth research for investigative journalism.
Assist in editing and producing news content using video editing tools.
Capture visuals for news stories and features.
Develop news content tailored for digital platforms.
Bachelor’s degree in Journalism
Training in Radio & Television Presentation
Basic knowledge of video and photography
Strong interest in news editing and production"
Marketing Officer,Public 4K TV,"Maharajgunj, Kathmandu, Nepal",Mid level,Negotiable,"Develop and execute marketing and sales strategies to drive business growth.
Identify and pursue new sales opportunities, leads, and partnerships.
Manage social media, digital campaigns, and promotional activities.
Conduct market research to understand customer needs and trends.
Create marketing materials, brochures, and advertisements.
Maintain relationships with clients and follow up on inquiries.
Meet sales targets and track performance using CRM tools.
Bachelor’s degree in Marketing, Business, or a related field.
Experience in sales, marketing, or business development.
Strong communication, negotiation, and networking skills.
Knowledge of social media, Google Ads, and analytics tools.
Goal-oriented mindset with the ability to meet targets."
Sales & Marketing Officer,SKY BROADBAND,"Lagankhel, Lalitpur, Nepal",Mid level,Negotiable,"Develop and implement sales strategies to attract new customers.
Maintain relationships with existing clients and ensure customer satisfaction.
Achieve sales targets and expand the company's market presence.
Conduct market research and identify business opportunities.
Bachelor's degree in Business, Marketing, or a related field.
Proven experience in sales and marketing preferably in retail sales in an ISP sector.
Strong communication and negotiation skills.
Ability to work independently and in a team.
A result-driven approach with a focus on achieving targets."
Jr. Accountant,Spiritual Nepal,"Tarakeshwar, Nepal",Junior,NPR 18K - 20K,"Maintain daily financial transactions and records.
Prepare and process invoices, payments, and receipts.
Assist in bank reconciliations and ledger maintenance.
Support payroll processing and expense tracking.
Prepare and submit tax filings and compliance documents.
Assist in financial reporting and audits.
Maintain proper documentation and filing of financial records.
Coordinate with vendors, clients, and internal teams for accounting matters.
Bachelor's degree in Accounting, Finance, or a related field.
1+ years of experience in accounting or a related role.
Proficiency in accounting software (e.g., Tally, QuickBooks, SAP).
Strong knowledge of financial principles and tax regulations.
Attention to detail and problem-solving skills.
Good communication and teamwork abilities."
Customer & Support Representative,Scodus Innovations Pvt. Ltd.,"Dillibazar Height Marg, Kathmandu, Nepal",Not Found,NPR 13K - 18K,"We are looking for a fresher to join our team as a Software Installation & Technical Support Representative. The role involves installing software at client locations, providing technical support, and assisting customers with troubleshooting issues.
Software Installation & Support Specialist
Handles software setup at client sites, provides technical assistance, and resolves issues to ensure seamless functionality.
Responsibilities:
Install and configure software at client sites
Provide technical support via calls, messages, or on-site visits
Troubleshoot and resolve basic hardware and software issues
Train clients on software usage
Maintain installation and support records
Qualifications:
Freshers or candidates with up to 1 year of experience can apply
Basic knowledge of software installation and troubleshooting
Strong communication and problem-solving skills
Must own a 2-wheeler (Better)
Valid driver’s license (compulsory)
Willingness to travel to client locations
Salary: 13K-18K  (Fresher/Intern)
Perks: Breakfast & Lunch from Office.
Timings: 10-5. 6 Days a week but there is flexibility.

Note: Only male candidates are preferred."
Customer Service Representative (CSR),Dhuni Software,"Thapathali, Kathmandu, Nepal",Mid level,Negotiable,"Handle incoming customer inquiries via phone, email, or chat.
Provide accurate and timely information to customers about our products/services.
Conduct research to identify potential customers and new markets.
Build and maintain relationships with clients to ensure repeat business.
Develop and execute sales strategies to achieve or exceed sales targets.
Prepare and deliver persuasive sales presentations and proposals to clients.
Resolve customer complaints in a timely and professional manner.
Escalate complex issues to the appropriate department or supervisor.
Collaborate with other teams, such as sales and marketing, to improve customer satisfaction.
Create engaging video content for TikTok, Instagram, and other social media platforms.
Develop creative video concepts aligned with brand objectives.
Plan, film, and edit high-quality videos.
Must have a minimum of 2+ years of experience in Customer service or a related role.
Bachelor's degree in business administration, marketing, or a related field.
Proven track record of achieving sales targets.
Excellent communication skills, both verbal and written.
Strong problem-solving skills and the ability to work independently.
Proficient in Microsoft Office and CRM software.
Ability to work in a fast-paced environment and handle multiple tasks simultaneously.
Positive attitude and a strong customer service orientation."
Social Media Content Creator,Dhuni Software,"Kathmandu, Nepal",Mid level,Negotiable,"Plan, execute, and implement engaging educational video content tailored to diverse social media platforms, including Reels, TikTok, and YouTube Shorts, while ensuring alignment with the brand voice and audience preferences. 
Write engaging scripts incorporating storytelling and voiceovers to make the content engaging and impactful. 
Collaborate with the design and marketing teams to produce visually appealing content, including infographics and videos to maximize viewer engagement and reflect brand values,
Stay updated on trends and best practices in social media and content marketing, implementing innovative ideas to enhance our content strategy.
Ensure all educational content adheres to brand guidelines for consistency and quality across platforms, maintaining a professional and cohesive brand presence.
1-2 years of experience in content writing and content creation (including video, graphics, and multimedia).  
Excellent written and verbal communication skills. 
Familiarity with social media platforms (Instagram, TikTok, Facebook) and their respective content formats. 
Creative thinker with a passion for storytelling and an eye for detail. 
Strong organizational skills and attention to detail. 
Ability to work both independently and collaboratively in a team. 
Strong copywriting skills"
