Job Title,Company,Location,Job Level,Salary,Job Description
Assistant. Specialist- Internat…,Ncell,Kathmandu,Not found,Not found,Not found
Specialist - Wholesale Governan…,Ncell,Kathmandu,Not found,Not found,Not found
Sr. Specialist-Brand & Marketing,Ncell,Kathmandu,Not found,Not found,Not found
Assistant Engineer – Platform P…,Ncell,Kathmandu,Not found,Not found,Not found
"Commercial Director, Business S…",Ncell,Kathmandu,Not found,Not found,Not found
Assistant Specialist- Channel S…,Ncell,Kathmandu,Not found,Not found,Not found
Unit Head - Solutions & Busines…,Ncell,Kathmandu,Not found,Not found,Not found
Assistant Specialist- Channel &…,Ncell,Kathmandu,Not found,Not found,Not found
Vice Principal,Balmiki International School,"Dhangadhi, Nepal",Senior Level,"NRs. 100,000 - 150,000 Monthly","Oversee the educational, administrative and operational activities of the school.Develop, implement and monitor policies and procedures.Manage the budget and financial resources of the school.Monitor and evaluate the performance of the teaching staff.Ensure the safety and security of the students and staff.Liaise with parents, students and other stakeholders."
Mathematics Teacher,SOS Children's Villages Nepal,"Madhyapur Thimi – 2, Sanothimi Bhaktapur",Not found,Not found,Not found
Chief Executive Officer (CEO),Mercantile Group of Companies,"Kathmandu, Nepal",Top Level,Not Disclosed,"The position of CEO should have overall responsibility of supervising and controlling all strategic and business aspects of the company.Develop high quality business strategies (quarterly, yearly) and plans ensuring their alignment with short-term and long-term objectives and targetsOversee all operations and business activities to ensure they produce the desired results and are consistent with the overall strategy and mission of the companyMake high-quality investing decisions to advance the business and increase profitsEnforce adherence to legal guidelines and in-house policies to maintain the company’s legality and business ethicsReview financial and non-financial reports to devise solutions or improvementsBuild trust relations with key partners and stakeholders and act as a point of contact for themAnalyze problematic situations and occurrences and provide solutions to ensure company survival and growthMaintain a deep knowledge of the markets and industry of the companyCreate an environment that promotes great performance and positive moraleWork with senior stakeholders, CFO and other Department heads to determine values and mission, and plan for short and long- term goalsOversee the company’s fiscal activity, including budgeting, reporting and auditing.Submit financial (e.g. P&L and MOS and MC sales reports) and non-financial reports (e.g. project status report) to Chairman on weekly and monthly basis on various divisions (e.g. MOS and MC Sales) and business verticals (e.g. Acer/Epson/Vertiv/Internet/VSAT). Conduct in-person or virtual meetings to discuss these reports."
Accountant,Beez Consulting,"Boudha, Kathmandu",Mid Level,Not Disclosed,"Post daily credit card transactions from COGC into Petro-Data.Ensure accuracy in billing for QTF, COGC, and Clarksville Transportation Company.Update and verify Vendor EFT entries and Freight Invoices for QT Fuel, COGC, andClarksville Transportation in Petro-Data.Report any significant issues to Fuel team."
Content Creator,Education Asia,"Putalisadak, Kathmandu",Mid Level,Not Disclosed,"Basically, being YOU on camera! We need someone comfortable chatting, sharing their thoughts, and generally being engaging in front of the lens.Helping us create video content for our social media and other platforms. Think short, snappy, and attention-grabbing!Brainstorming cool ideas with our team – no stuffy corporate meetings here, just good vibes and creative sparks.Being the face (and voice!) of some of our exciting projects and initiatives.Creating compelling video content aligned with our brand identity and target audience.Adept in social media platforms (Instagram, Facebook, TikTok, etc)"
Finance and Admin Officer,Aayulogic,"Chakupat, Patan",Entry Level,Not Disclosed,"Prepare and maintain financial records, including vouchers, ledgers, invoices, and receipts.Process payments, bank reconciliations and monitor cash flow.Prepare financial reports, including budget analysis and forecasts.   Assist in financial audits and ensure compliance with accounting standards and regulations.Monitor expenditures and ensure they align with budget allocations.Manage payroll, tax filings, and other statutory compliance.Ensure proper financial documentation and record-keeping."
Sales Officer,Healthcare Technologies,"Aspen Marg, St. Xavier's College Road, Maitighar, Kathmandu",Mid Level,"NRs. 25,000 - 50,000 Monthly","Promote and sell the company's range of medical equipment to healthcare facilities.Develop and maintain strong relationships with existing clients and potential customers.Identify new sales opportunities and generate leads through cold calling, networking, and other means.Conduct product demonstrations and presentations to potential customers.Stay updated with the latest industry trends and competitive landscape.Achieve and exceed sales targets assigned by the company.Prepare and submit sales reports and forecasts to the sales manager.Ensure timely delivery of products to customers and handle any customer queries or complaints.Collaborate with the marketing team to develop effective sales strategies.Attend industry events, conferences, and trade shows to increase brand awareness and generate sales leads."
E-Commerce And Marketing Officer,Healthcare Technologies,"Aspen Marg, St. Xavier's College Road, Maitighar, Kathmandu",Mid Level,"NRs. 25,000 - 40,000 Monthly","Develop and execute e-commerce strategies to boost online sales and market share. Manage and optimize the online store for an excellent user experience.Oversee product listings, pricing, and promotions.Analyze data to identify trends and improve online performance.Plan and implement digital marketing campaigns (SEO/SEM, email, social media). Collaborate on integrated online and offline marketing efforts.Support the development and execution of offline marketing campaigns. Manage the e-commerce budget and track ROI.Stay updated on e-commerce trends and technologies.Report on e-commerce performance to management."
Marketing And Communication Man…,InnoCSR Nepal (Good Bricks System),"Jorpati, Kathmandu",Senior Level,Not Disclosed,"Design and implement a comprehensive marketing strategy to promote the Good Bricks System and Good Bricks and enhance brand presence.Design a strategic marketing plan that expands company’s customer base and implement the plan to ensure its strong presence.Lead market research efforts to uncover the viability of existing products/servicesCollaborate with media organizations, advertising agencies, and internal teams to develop innovative campaigns.Coordinate with the sales team and other departments to create and execute effective strategiesMonitor and evaluate ongoing campaigns, ensuring deadlines are met and tasks are completed. Analyze data to evaluate the success of marketing efforts and come up with new ideas to improve brand marketing and exposure"
Executive Assistant,WorldLink Communications,"Jawalakhel, Lalitpur",Mid Level,Not Disclosed,"Manage
     and maintain schedules, including scheduling travel meetings and other
     calendar appointment, requiring interaction with both internal and
     external contacts
Prepare
     reports, collect and analyze information; prepare presentations, record
     meeting discussions and provide minutes
Prepare
     executive responses to routine memos, letters, or correspondence
Opening,
     sorting, and distributing correspondence, including emails, mails and
     faxes
Filter
     general information, queries, phone calls, invitations by determining
     significance; routing to appropriate personnel in a timely and efficient
     manner
Interact
     with customers when required, document complaints and report problems to
     Chief Executive Officer (CEO)
Assist
     core team with creation of reports, presentations including researching,
     compiling and developing necessary information and material as and when
     required
Liaison
     with staff and clients
Assist
     CEO in other day to day work"
Admission Counselor,EuroKids International,"Eurokids, Bishalnagar",Mid Level,Not Disclosed,"Assist prospective students with the admission process, including application procedures and program information.Conduct informational sessions, tours, and open houses.Respond to inquiries via phone, email, and in person.Maintain accurate records of student interactions and follow up with prospective students.Collaborate with marketing and outreach teams to attract and retain students.Participate in school fairs and recruitment events.Provide excellent customer service to prospective students and their families."
Counselor,Times Management System,"Bansbari, Kathmandu",Mid Level,"NRs. 30,000 - 40,000 Monthly","Provide counseling and consultation services to clients in the manpower recruitment industryUnderstand client's recruitment needs and recommend appropriate solutionsDevelop and maintain strong relationships with clients to ensure their satisfactionCoordinate with internal teams to identify suitable candidate profiles for clientsUtilize recruitment databases and job portals for sourcing candidatesConduct interviews and assessments to evaluate candidate's skills and qualificationsProvide candidates with necessary information about job opportunities and prepare them for interviewsMaintain records of all recruitment activities, client interactions and candidate dataKeep updated with latest industry trends and market intelligence to provide strategic advice to clients"
Marketing Officer,Hajurko Events,Kathmandu,Mid Level,"NRs. 25,000 - 35,000 Monthly","Conduct market research and analysis to identify potential clients and develop effective marketing strategiesCreate and manage social media presence to engage with our target audience and increase brand awarenessAttend industry events and conferences to network and represent Hajurko EventsCoordinate with the sales team to generate leads and follow up on marketing effortsTrack and analyze the effectiveness of marketing campaigns and adjust strategies accordinglyStay updated on industry trends and competitors to identify opportunities for growthAssist in creating marketing collateral such as brochures, flyers, and presentations"
Digital Marketing Head,Enlighten International Education,"Bagbazar-28, Kathmandu",Mid Level,"NRs. 40,000 - 50,000 Monthly","Develop and implement the company's digital marketing  strategy across multiple channels, including email marketing, social media, SEO, PPC, display advertising, and content marketing. Develop and manage digital marketing campaigns, including defining target audiences, setting goals, developing content, and tracking performance. Manage the company's website, ensuring it is optimized for user experience and search engines, and make regular updates to keep content fresh. Create compelling graphics, videos, and other visual content to promote our services and enhance our brand image. Measure and report on the performance of digital marketing campaigns, analyzing data and making recommendations for optimization. Work closely with the sales team to identify opportunities to improve lead generation and customer acquisition efforts. Keep up-to-date with the latest digital marketing trends  and technologies and provide recommendations on how to leverage them to improve performance. Oversee and approve marketing material, from website banners to hard-copy brochures and case studies. Measure and report on the performance of marketing campaigns, gain insight, and assess against goals."
Area Sales Manager (ASM),BDC Foods,Chitwan and Nearby District Area,Senior Level,"NRs. 80,000 Monthly",Develop and execute sales strategies to achieve set targets and increase revenue in the designated area.Build and maintain relationships with clients to ensure customer satisfaction and retention.Monitor and analyze market trends and competitor activities to identify new business opportunities.Train and mentor the sales team to improve their performance and achieve sales targets Strong Collaboration with ASO and other sales team.Collaborate with the marketing team to develop promotional activities and campaigns to drive sales.Create sales reports and other required reports  and provide regular updates to the senior management team.Ensure compliance with company policies and procedures.
Sales Manager,Plaza Sales,Kathmandu,Mid Level,"NRs. 80,000 Monthly","Develop and execute a strategic sales plan to achieve and exceed wholesale revenue targets.Identify and cultivate relationships with new wholesale buyers.Analyze sales data, identify trends, and develop data-driven strategies to increase wholesale sales volume and profitability.Work closely with the operations and logistics teams to ensure timely order fulfillment and smooth export processes.Manage product returns and resolve customer complaints efficiently"
Accountant,RV Group,"RV GROUP, Bhagwati Bahal, Naxal",Mid Level,Not Disclosed,"Documents
financial transactions by entering account information.Recommends
financial actions by analyzing accounting options.Summarizes
current financial status by collecting information; preparing balance sheet,
profit and loss statement, and other reports.Substantiates
financial transactions by auditing documents.Maintains
accounting controls by preparing and recommending policies and procedures.Guides accounting
clerical staff by coordinating activities and answering questions.Reconciles
financial discrepancies by collecting and analyzing account information.Secures financial
information by completing database backups.Maintains
financial security by following internal controls.Prepares payments
by verifying documentation, and requesting disbursements.Answers
accounting procedure questions by researching and interpreting accounting
policy and regulations.Complies with
federal, state, and local financial legal requirements by studying existing and
new legislation, enforcing adherence to requirements, and advising management
on needed actions.Prepares special
financial reports by collecting, analyzing, and summarizing account information
and trends.Maintains
customer confidence and protects operations by keeping financial information
confidential."
Accountant,Power Construction Corporation of China,"Kathmandu + UT 1 Project, Mailung Rasuwa",Mid Level,Not Disclosed,"Manage day-to-day financial transactions and maintain accurate records.Prepare financial statements, reports, and budgets.Handle accounts payable and receivable processes.Reconcile bank statements and ensure all discrepancies are resolved.Assist in preparing tax returns and ensure compliance with tax regulations.Monitor company expenses and assist in cost management.Manage payroll and employee benefits calculations.Perform periodic audits of financial records to ensure accuracy.Collaborate with internal and external auditors.Provide financial insights to support strategic decision-making."
Accountant,N.K Technology,"Kathmandu, Nepal",Mid Level,Not Disclosed,"Handle day-to-day accounting transactions and maintain accurate financial records.Generate VAT bills and ensure proper documentation for taxation.Prepare and maintain ledger accounts, journal entries, and reconciliations.Manage accounts payable and receivable, ensuring timely payments and collections.Prepare financial statements, balance sheets, and profit & loss reports.File VAT, TDS, and tax returns as per government regulations.Ensure compliance with tax laws and financial regulations.Coordinate with auditors and assist in internal and external audits.Maintain cash flow records and monitor banking transactions.Work with accounting software (Tally, QuickBooks, or relevant ERP systems)."
Analyst,Audit Partnership,"Anamnagar, Kathmandu",Entry Level,"NRs. 25,000 Monthly","You will be responsible for your own audits and the detailed analysis of financial data. Reviewing retail promotional activity.With a keen eye for detail, you will be reviewing, evaluating, and investigating datasets to identify discrepancies. You will be given responsibility to make integral decisions and the chance to make a real contribution to the company’s continued success."
Human Resource Assistant,Centrix,"Bansbari Road, Kathmandu",Mid Level,"NRs. 25,000 Monthly","Develop and implement HR policies and proceduresOversee recruitment, onboarding, and employee retentionHandle employee relations, manage attendance and performance evaluation systems.Organize training and development programsMaintain HR records and reports"
Dance Teacher,Rosebud School,"Buddhanagar, Kathmandu",Mid Level,"NRs. 30,000 - 40,000 Monthly","Teach various styles of dance, such as classical, contemporary, folk, and cultural dances, to students of different age groups.Plan and conduct engaging dance classes that focus on technique, choreography, and performance skills.Develop and implement a comprehensive dance curriculum that aligns with the school's goals and objectives.Create lesson plans, instructional materials, and performance routines for dance classes.Assess students' progress and skill levels through regular evaluations, rehearsals, and performances.Provide constructive feedback and guidance to students to help them improve their dance abilities.Choreograph dance routines and performances for school events, competitions, and showcases.Organize and coordinate dance rehearsals, costume fittings, and stage productions.Collaborate with other dance teachers, school staff, and external instructors to organize workshops, masterclasses, and dance-related events.Participate in faculty meetings and contribute to the overall development of the performing arts program."
Middle School Math Teacher (Gra…,Rosebud School,"Buddhanagar, Kathmandu",Mid Level,"NRs. 40,000 - 50,000 Monthly","Plan and deliver engaging math lessons based on the curriculum and the students' individual needsUse various instructional techniques and resources to enhance students' understanding and retention of math conceptsCreate and administer assessments to evaluate students' progress and adjust teaching strategies accordinglyCollaborate with colleagues to develop and implement effective and meaningful math programs and activitiesMaintain a positive and inclusive classroom environment, fostering curiosity and critical thinking skillsStay up-to-date with the latest teaching methods and strategies in the field of math educationAdhere to all school policies and procedures, including those related to student safety and confidentiality."
Sales Officer,Plaza Sales,Kathmandu,Mid Level,"NRs. 30,000 Monthly","Develop and execute a strategic sales plan to achieve and exceed wholesale revenue targets.Identify and cultivate relationships with new wholesale buyers.Analyze sales data, identify trends, and develop data-driven strategies to increase wholesale sales volume and profitability.Work closely with the operations and logistics teams to ensure timely order fulfillment and smooth export processes.Manage product returns and resolve customer complaints efficientlyWillingness to travel within assigned territory."
Pre School Teacher,Eurokids Gongabu,"Gongabu, Baniyatar",Mid Level,Not Disclosed,"Plan and implement age-appropriate activities to foster children's physical, social, emotional, and cognitive development.Create a safe and supportive learning environment for children.Develop and implement lesson plans that align with the school's curriculum and educational standards.Utilize a variety of teaching methods to engage children and enhance their learning experience.Monitor and assess students' progress and provide feedback to parents.Collaborate with other teachers and school staff to support the overall development of students.Communicate effectively with parents to provide updates on students' progress and address any concerns.Maintain accurate and organized records of students' academic and behavioral performance.Incorporate technology and other innovative teaching methods to enhance learning."
Primary Level Teacher,Kathmandu Euro IB World School,"Gongabu, Baniyatar, Kathmandu",Mid Level,Not Disclosed,"Plan, prepare, and deliver instructional activities that facilitate active learning.Create a positive learning environment that fosters intellectual curiosity, critical thinking, and teamwork.Develop lesson plans and instructional materials aligned with curriculum standards.Assess and document students' progress and provide timely feedback.Collaborate with colleagues, parents, and administrators to support student development.Maintain accurate records of attendance, grades, and behavior.Participate in professional development activities to enhance teaching skills."
Secondary Level Teacher,Kathmandu Euro IB World School,"Gongabu, Baniyatar, Kathmandu",Mid Level,Not Disclosed,"Design and implement engaging lesson plans that meet the needs and interests of diverse learners.Utilize various teaching strategies and resources to facilitate student understanding and mastery of subject matter.Assess student learning through quizzes, tests, projects, and other forms of evaluation.Provide constructive feedback to students to support their academic growth.Collaborate with colleagues to develop interdisciplinary units and projects.Communicate regularly with parents/guardians about student progress and concerns.Participate in department meetings, professional development, and school events."
Document Controller,Interpid Recruitment Services,Kathmandu,Mid Level,Not Disclosed,"Organize, manage, and maintain company documents and records in a systematic manner.Ensure timely retrieval and distribution of documents to relevant personnel or departments.Create, format, and edit documents using Photoshop and MS Excel.Maintain version control and ensure documents are up-to-date.Support the team in preparing reports and presentations as required.Ensure compliance with company policies and document control procedures.Provide administrative support to the team for document-related tasks.Handle sensitive information with confidentiality and discretion."
Receptionist,Interpid Recruitment Services,"Kathmandu, Nepal",Entry Level,Not Disclosed,"Greet and assist visitors, clients, and employees in a professional and friendly manner.Handle incoming and outgoing phone calls and emails effectively.Manage the reception area, ensuring it is clean and organized.Schedule and manage appointments or meetings as needed.Provide information about the company’s services and address inquiries.Assist in clerical tasks such as data entry, filing, and maintaining records.Coordinate with different departments for smooth operations.Handle and distribute incoming mail or deliveries"
Junior Accountant,Purnaa Enterprises,"Champi, Lalitpur",Mid Level,"NRs. 32,000 Monthly","Manage petty cash and ensure daily reconciliation of actual cash and the Accounting systemAccurately and on time; purchases, sales, and stock information are entered into the accounting system, and invoices are filed.Track and control payables and receivables.Prepare daily cash and bank balance reconciliation.Handwrite sales and purchase ledgers and VAT billsPrepare monthly VAT Filing TotalsAssist in company end-of-year audit and tax filing process, including getting tax clearance letter (Preparing supporting documents for audit)Work with the Sourcing Team and Production Team to assist in reconciling stock records and the balance sheet stock and WIP values.Assist in preparing VAT Refund detail information – export, import, ACP detailsTrack receipts from customers to assist management of customer advances and receivables and quickly process paperwork for shipment. APC invoice adjustmentsMonthly customer advance report to PMsCheck whether bank balances are sufficient for payments or not and make the transfer to NPR from the USD account if needed.Perform banking-related tasks as required to include depositing or cashing checks, processing payments, obtaining APC, and making international payments.Assist in working with Nepali government offices on behalf of Purnaa including IRD, municipality office, district office, Customs Department, Department of Industry, Immigration, Company Registrar, Labor Office, and others.Cash-incentive filing and processing."
Training Professional,Numbur Vocational Training Centre,"Soludhudkunda Municipality-7, Garma.",Mid Level,Not Disclosed,Eligibility: Technical Certificate or Bachelor.Experience: Minimum 3 years in the corresponding area.
SailPoint Engineer,JiniTeks,"Kathmandu, Nepal",Mid Level,"NRs. 80,000 Monthly","Design and Implementation: Develop and deploy IAM solutions using SailPoint IIQ and IdentityNow to meet organizational requirements.​Integration: Integrate IAM systems with various applications and platforms, including Okta for single sign-on (SSO) and CyberArk for privileged access management.​Federation Services: Configure and manage PingFederate to enable secure identity federation across different domains.​Access Management: Establish and enforce access policies, ensuring compliance with internal controls and regulatory standards.​Lifecycle Management: Oversee user provisioning, de-provisioning, and role management processes to maintain accurate access rights.​Monitoring and Reporting: Implement monitoring tools and generate reports to assess the effectiveness of IAM solutions and identify areas for improvement.​Collaboration: Work closely with IT security, compliance, and application teams to align IAM strategies with business objectives.​"
Senior Technical Writer,Logpoint Nepal,Lalitpur,Senior Level,Not Disclosed,"Produce high-quality product documentation for various product lines that help customers understand and use our products. Documentation includes but is not limited to User Guides, Release Notes, Troubleshooting documents and potentially How-to videos. Collaborate with subject matter experts (software developers, quality assurance engineers, project managers, product owners, and other SMEs) to gather technical information to write, update and revise documentation.Help refine our voice, tone, and writing standards.Edit legacy content so it aligns with our user-centric style guide.Conduct peer reviews for grammar, style, and format. Support the Documentation Lead for Roadmap planning and training needs for team members."
Mid QA Engineer (Automation),Aayulogic,"Chakupat, Patan Dhoka",Mid Level,Not Disclosed,"Design, develop, and execute automated test scripts using Selenium.Perform functional, regression, and performance testing.Identify, document, and track bugs using tools like JIRA.Collaborate with developers and product teams to ensure high-quality releases.Ensure compliance with software testing best practices.Work in an Agile environment, participating in sprint planning and review"
Retail Salesperson,Square Feet Store,"Pepsicola, Kathmandu",Mid Level,"NRs. 25,000 Monthly","Greet and assist walk-in customers, understand their needs, and provide product recommendations.Explain product features, benefits, and pricing clearly.Prepare quotations and follow up with clients to close sales.Maintain excellent customer service to encourage repeat business.Coordinate with the delivery team to ensure timely and accurate order fulfillment.Develop and maintain relationships with interior designers, architects, and contractors.Keep a record of visitors, ongoing projects, and key specifiers.Assist in documentation, billing, and handling customer queries.Work closely with the warehouse and logistics team to ensure smooth deliveries.Coordinate with housekeeping and maintenance staff for showroom upkeep."
Technical Sales Officer,Tech World Distribution,"Pako Newroad, Kathmandu",Mid Level,Not Disclosed,"Identify potential customers and generate sales for brands which includes Dahua Technology,Ezviz,Lexar and Netis.Increase Channel Sales Customer/Dealers Network.Identify sales leads and convert leads to sustainable sales.Contact customers, requiring effective written and verbal communication and the ability to build customer rapport while managing their expectations.Sales and profitability development for customers within the territory.Drive activities (e.g. marketing, promotion, claim handling, etc.) towards the customers.Initiate and improve customer relations via customer interaction, with special emphasis on customer visits to active and potential customers.Periodically visit dealers inside/outside valley."
Social Media Handler,Entrepreneurs Accountants,"Balaju, Kathmandu",Mid Level,Not Disclosed,Reply to customer messagesHandle objections and communicate clearly with customersMaintain a friendly and professional toneFollow up with interested leadsAssist in managing and growing our social media presence
Office Maintenance Supervisor,East West Concern,Baluwatar,Mid Level,Not Disclosed,"Facility Maintenance – Ensuring the office space, equipment, and utilities (HVAC, plumbing, electrical, etc.) are in good working condition.Supervising Maintenance Staff – Managing janitors, handymen, and technicians, assigning tasks, and ensuring work is completed properly.Repairs & Inspections – Conducting routine inspections to identify maintenance needs and coordinating repairs.Safety & Compliance – Ensuring the office complies with safety regulations and company policies (e.g., fire safety, OSHA standards).Vendor & Contractor Coordination – Hiring and supervising external contractors for specialized repairs or upgrades.Inventory Management – Keeping track of tools, supplies, and office maintenance equipment.Budget Management – Managing maintenance costs, requesting quotes, and approving expenses for repairs and upgrades.Emergency Response – Handling urgent maintenance issues like leaks, power outages, or security concerns.Other job as per nature of the job"
Sales Executive,B2B Hospitality Nepal,"Kathmandu

                                    ,
                                
                                    Lalitpur

                                    ,
                                
                                    Pokhara",Mid Level,Not Disclosed,"Develop call patterns to maintain PR with all the managers and decision-making people of existing hotels, restaurants, and banquets.Follow up with the concerned person on ongoing negotiations.Arrange for sampling to the customers if needed.Create ways to Increase sales from existing clients.Generate a daily reporting system for all the calls made and issues discussed with the clients.Keep a tap and find decision-makers on all upcoming hotel, restaurant, and banquet projects in Nepal.Follow up with branch sales representatives on the route sales.Add new clients.Understand market requirements, and customer feedback and report accordingly to better ourservices.Create a comprehensive customer database"
Senior Manager – Housing Financ…,Habitat for Humanity International Nepal,Kathmandu,Not found,Not found,Not found
Math / Science Teacher,Unique Nepal Academy,"Kathmandu, Nepal",Mid Level,Not Disclosed,"Teach Maths and Science subjects to students from Grade 4 to 7.Plan, develop, and implement engaging lesson plans as per the curriculum.Assess students' progress and provide constructive feedback.Maintain a positive and disciplined classroom environment.Collaborate with fellow teachers and school administration to enhance the learning experience.Participate in staff meetings, training programs, and school events."
Basic Level English Language Te…,Unique Nepal Academy,"Kathmandu, Nepal",Mid Level,Not Disclosed,Plan and deliver engaging English language lessons for basic-level students.Develop and implement curriculum plans and instructional materials.Foster a positive and interactive classroom environment.Assess and evaluate students’ progress through assignments and exams.Maintain discipline and classroom management effectively.Collaborate with colleagues and administration for academic development.Encourage students' participation and enhance their language skills.
Teacher,Pathshala Nepal Foundation,"New Baneshwor, Kathmandu",Not found,Not found,Not found
Social Media Handler / Content …,Millsberry School,"Bansbari Road, Kathmandu",Mid Level,Not Disclosed,"Develop creative and informative content for social media platforms including Facebook, Instagram, Twitter, TikTok, You Tube, LinkedIn etc. Plan, schedule, and publish content to ensure consistent online presence Monitor social media activity and respond to comments, messages, and reviews in a timely manner Collaborate with the marketing team to create and implement social media campaigns Use analytics tools to track social media performance and make data-driven decisions Stay updated with current industry trends and incorporate them into content strategy Engage with Millsberry School's online community by creating interactive posts, quizzes, contests etc.Knowledge of professional photography is requiredAssist in creating and managing social media advertisements"
Front Desk Officer,Unique Nepal Academy,"Kathmandu, Nepal",Mid Level,Not Disclosed,"Greet and assist visitors in a professional and friendly manner.Handle phone calls, emails, and inquiries efficiently.Manage front desk operations, including scheduling and maintaining records.Provide administrative support and coordinate office tasks.Address customer concerns and provide appropriate solutions.Ensure a well-organized and welcoming reception area."
Nepali Language Teacher,Unique Nepal Academy,"Kathmandu, Nepal",Mid Level,Not Disclosed,"Teach Nepali language to students from Grade 4 to 7.Plan and develop curriculum, lesson plans, and assessments in alignment with educational standards.Foster a positive and engaging classroom environment to enhance learning.Monitor and evaluate student progress and provide constructive feedback.Maintain classroom discipline and effective classroom management.Work collaboratively with colleagues and school administration for curriculum planning and student support."
Administrative Officer,Maitri Holdings Services,Lalitpur,Mid Level,Not Disclosed,Oversee and manage day-to-day office operations.Supervise office supplies inventory and procurement processes.Ensure a clean and organized work environment.
